"x","pmf_x"
4,0
9,0.0381
10,0.0152
37,0.0353
39,6e-04
58,0.0078
71,0.0162
77,0.0339
106,0.0041
113,0.0143
121,9e-04
131,0.0634
147,0.0088
148,0.0067
182,0.004
191,0.0045
193,0.0031
198,0.0062
205,0.0038
213,0.0045
217,0.0263
219,0.0039
222,4e-04
239,0.0146
247,0.0102
254,8e-04
255,3e-04
270,0.0116
273,0.001
297,0.0013
298,1e-04
299,0.0072
305,1e-04
318,0.0363
327,0.002
332,0.0035
333,0
335,0
362,7e-04
365,0.0035
367,1e-04
378,7e-04
382,0.0025
389,0.006
394,0.0136
410,0.0105
413,0.0448
425,0.0017
426,0.0032
443,0
451,0.016
454,0.0045
463,0.02
466,0.0015
481,0.0173
483,0.031
500,0.0369
506,0
523,0.0024
524,0.0053
525,0.0105
536,0.037
546,0.0154
547,0.0127
555,0.0107
566,3e-04
568,0.0164
574,0.0022
597,0.0189
620,0
622,4e-04
623,3e-04
631,0.0114
635,3e-04
641,0.0041
654,0.0114
669,0.0015
676,0.0011
677,0.0019
686,0.0157
692,0.0046
705,0.001
707,0.0048
721,1e-04
769,0.0171
785,0.003
793,0.0205
799,0.0151
812,0.0749
814,5e-04
818,0
819,0.0095
823,0.003
835,0.0015
837,5e-04
851,0.0131
856,0
866,0.0072
868,0.018
880,0.0045
893,0
915,7e-04
941,0.0017
965,0.007
967,0.0028
970,6e-04
976,0.0029
