"x","pmf_x"
5,0.0036
7,0.0021
11,0.0161
16,0.0025
43,0.0274
59,0.0135
71,0
91,6e-04
94,0.0053
95,0.0039
123,0.0013
126,0.0045
135,0.0021
147,2e-04
148,0.0201
186,0
195,7e-04
219,0.0031
232,0.0209
236,0.0209
252,5e-04
253,0.0238
264,3e-04
288,0.001
292,0.0224
294,2e-04
314,0.0013
315,5e-04
325,0.0188
327,0.0063
329,0.0219
335,3e-04
340,0.0139
342,0.015
358,0.0317
361,0.0018
377,0.0024
384,4e-04
390,0.0307
392,0.0326
401,1e-04
416,0.003
427,0.0014
433,7e-04
443,0.0054
451,0.0083
473,0.0036
478,0.001
487,3e-04
500,0.0063
502,0.0176
520,0.0029
523,0.0069
543,0.0189
545,0.0109
547,0.0151
554,0.0356
562,0.0115
565,0.0032
587,3e-04
601,8e-04
634,9e-04
636,0.003
650,0.0017
666,0.0112
674,0.0038
695,0.0012
702,0.0109
713,1e-04
714,0.0262
720,0.021
722,0.0051
726,0.0013
747,0.0119
751,0.0459
767,0.0087
769,0.0018
803,0.0416
808,0.02
814,2e-04
823,0.0105
837,1e-04
840,0.0045
848,1e-04
850,0.0083
858,0.0033
869,0.045
890,0.0585
909,0.0017
914,0.0012
929,0.03
933,3e-04
963,0.0706
984,0.0019
986,0.0013
990,0.0154
998,0.0024
