"x","pmf_x"
3,0.0316
36,0.01
43,0
56,4e-04
63,1e-04
76,0.0011
107,0.0025
120,3e-04
124,0.012
133,0.0767
168,0.0012
198,0.0227
201,5e-04
205,9e-04
219,0.0059
248,0.0088
251,0.0689
255,0
256,0.0018
258,0
285,0.0073
287,8e-04
300,0.0249
306,0.0242
320,0.0026
335,0.019
357,0.0027
374,0.0024
381,2e-04
385,0.0212
400,0.0153
405,0.0172
411,0.0036
412,0.001
428,0.001
430,0.0017
431,0.0505
435,5e-04
448,0
457,1e-04
475,0.0013
478,8e-04
495,0.0097
500,3e-04
514,0.0086
523,9e-04
526,0.0817
537,0.0074
552,0.0162
557,0.0146
559,7e-04
573,6e-04
609,0.0119
610,0.0206
617,0.0195
624,0.0124
652,0
656,0.0144
658,0.0224
659,0.0013
664,0.0052
690,8e-04
699,0.0074
726,3e-04
744,0.0096
747,0.0084
754,0.0015
756,0.0027
764,0.02
769,0.0061
770,6e-04
783,0.059
785,0.035
794,1e-04
817,0
820,9e-04
821,0.0017
888,0.0057
900,0.0269
918,0.0133
929,0.0442
946,0.0074
950,0.0013
953,0.0011
955,2e-04
956,0.0069
965,3e-04
968,0.0022
976,0.0215
980,9e-04
984,0.0022
990,0.0197
