"","alpha","beta","gamma","delta","epsilon","zeta","eta","theta","iota"
"1",11.7050195928172,15.3100913892469,11.7050195928172,9.31109097538426,11.5847373091598,12.3468795307919,10.9323550211055,6.81203097337857,8.93263840540112
"2",14.3892826412445,13.5909134000279,14.3892826412445,9.29817806659626,11.2259376691012,8.74567234339421,10.4272921722526,0.402659676037729,-9.00954347352424
"3",12.9025768940279,13.7502091174579,12.9025768940279,9.46318745184905,12.1148739380611,10.5126774250922,10.7765309373829,5.42797893285751,13.5254600953452
"4",11.8790178029512,13.4520471070102,11.8790178029512,9.5304331152861,9.77641692487958,8.94086754264771,7.74066816578883,6.08870378462598,17.3266985086404
"5",13.7354874744777,13.7016960027904,13.7354874744777,9.38450443619933,9.38655181126149,11.2337774763634,9.83217454337944,3.4543861169368,12.7926935886212
"6",9.15870225693025,13.9016034145094,9.15870225693025,9.37902490007037,11.4502950780759,9.44009005199478,11.7075765843739,2.26614796789363,2.7314950289385
"7",11.1746087187229,13.6992106277432,11.1746087187229,9.40342255766967,13.154406421836,9.87002654686633,8.6366880687542,3.45782100455835,8.89316660992846
"8",11.8136817858239,13.5616070303103,11.8136817858239,9.37380978805266,10.6029167694348,9.83726263841948,9.62348966163027,4.60391621803865,10.0302577460976
"9",12.6749713824245,15.8450191008354,12.6749713824245,9.44026093037322,8.68450120197551,10.4801329489232,6.790496751703,8.9412859105505,-9.17377022602358
"10",12.0247284531652,13.9008830376188,12.0247284531652,9.28187557475548,10.0111337540427,9.62597588420647,9.97811321617311,6.93576971068978,5.43289367415629
"11",12.6351294211348,14.4933700709437,12.6351294211348,9.28873409473569,11.720806702427,9.65734567659439,9.1257367856069,1.1985119082965,-9.74430394909809
"12",12.058447423581,12.2801818043671,12.058447423581,9.28802327522464,10.9218117428249,9.14598671025569,10.8307106134703,2.47951561352238,-0.351411098132131
"13",12.5972865568684,13.943957649122,12.5972865568684,9.232134110175,9.3181734895433,10.3079967088711,10.4367947130713,0.449336024466902,-15.0704023791667
"14",11.9977595658128,13.8509403007403,11.9977595658128,9.46302413684111,9.63196559224033,10.4520889561627,11.4813832262397,8.56654667761177,-4.34147478817886
"15",12.5695217965922,15.825087184697,12.5695217965922,9.37105390982343,10.4346448371471,12.079431690012,9.28473575598881,5.70196107961237,14.8591035336913
"16",12.7577716109831,12.751996720901,12.7577716109831,9.26193156590345,9.08198015993484,9.64383130035618,8.66099138235786,5.05179584491998,9.68578160789473
"17",13.2158360368069,13.550615008137,13.2158360368069,9.21862792957135,10.587084923803,11.1081969482861,8.58233204070008,5.42536488501355,9.8285750698832
"18",10.3460951731178,13.2085701692209,10.3460951731178,9.43724608236069,11.4482650906918,10.9599476512366,10.6282042668643,3.74633101047948,9.31532673943962
