"x","pmf_x"
9,0.0014
12,0.0118
26,0.0189
40,0.0128
47,0.0249
52,0.0035
56,0.0271
91,0
94,0.0011
97,0.0307
99,4e-04
127,0.0017
131,0.0092
134,1e-04
137,0.0285
151,0.0017
155,0.005
158,0.0028
160,0.01
171,0.0026
180,0.0026
185,0.002
225,0
243,0.0058
276,0.0166
285,0.004
294,2e-04
301,0.0287
329,0.0207
344,0.0068
347,0.0012
349,3e-04
351,0.0043
355,3e-04
363,0.0101
384,0
414,0.0023
425,3e-04
429,1e-04
448,0.0011
456,0
460,0.0165
463,7e-04
469,3e-04
480,0.0025
514,0.0037
520,0.0069
535,1e-04
551,0.0019
560,2e-04
565,0.0011
576,0.0083
594,0.0192
596,0.002
603,0.0013
611,0.0024
627,0.0078
639,1e-04
671,0.0036
673,0.0044
676,0.0049
685,0.0221
694,0.0163
707,0.0033
709,0.0016
726,0.004
733,0.0029
745,0.016
761,0.0695
766,0.019
768,0.0114
769,0.0076
779,0.001
794,0.0688
807,0.0447
824,0.0034
828,1e-04
834,0.0105
861,0.0163
875,0.004
893,0.0091
901,0.0243
902,0.0079
907,0.007
908,5e-04
912,2e-04
922,0.0814
935,8e-04
936,3e-04
942,0.028
943,0.0106
951,0.0013
956,0.0068
957,0.0231
961,0.0628
968,0.0021
971,0.0132
978,0
985,0.0079
996,7e-04
