"x","pmf_x"
10,0.0104
14,0.0184
18,0.0048
20,0.0208
34,0.019
48,0.0171
57,7e-04
58,0.0039
69,0
95,0.0086
96,0.0144
100,0.0038
108,0.0015
136,0.0031
158,0.001
159,4e-04
188,0.0017
196,1e-04
232,0.0193
237,0.0013
248,0.0063
261,0.0095
262,0.0018
267,0.0022
270,0.0027
281,0.0135
291,0.0148
307,0.0128
309,0.0025
311,0.1344
316,0.0019
346,0.0029
358,7e-04
377,0.0543
390,0.0419
399,0.0104
410,0.0062
432,0
463,0.0024
469,7e-04
473,0.0162
487,0.0067
497,0.0099
504,0.0592
505,0.0048
527,5e-04
542,3e-04
561,0.0083
564,0
594,0.0039
595,0.001
600,2e-04
604,0.0089
626,0.0036
640,0.0145
642,0
643,0.0043
646,0.0289
654,0.0024
662,0.0176
674,0.008
685,0
691,0.0038
710,0.0017
741,0.0291
746,1e-04
747,0.0042
764,2e-04
772,8e-04
788,2e-04
791,1e-04
802,0.0188
804,0.0189
806,9e-04
821,0.0103
828,0.0648
829,0.0365
833,5e-04
864,1e-04
865,0.002
869,0.0016
884,0.0067
885,0.0161
914,4e-04
917,3e-04
919,0.001
924,0.0108
932,0.0049
952,0.0199
957,0.03
960,7e-04
998,0.0432
