"x","pmf_x"
6,0.0131
13,0.0154
37,0.0079
47,2e-04
98,0.0115
109,0.0124
117,0.009
135,0.0038
141,0.0453
142,0
160,0.0219
161,0.0205
178,0
183,0.0184
191,0.0012
212,0.0081
216,0.0179
226,0.002
235,0.0055
249,0.0155
258,0.002
268,0.0013
270,0.021
280,7e-04
283,1e-04
286,0.0049
303,0.0014
310,0.0279
314,0.0578
315,0.0023
316,2e-04
324,0.0382
328,0
338,0.0045
347,0.0025
355,3e-04
356,3e-04
374,0.0013
381,0
393,5e-04
409,2e-04
427,0.0101
428,0.0034
431,0.0051
438,0.0076
441,0
481,0.0094
483,6e-04
486,0.0023
502,4e-04
517,0.0011
518,0.0028
522,8e-04
534,0.0016
539,0.0011
555,0.015
562,0.0127
572,0.0058
573,0.0015
574,0.006
575,0.0018
577,2e-04
590,9e-04
606,0.0284
620,0.0082
626,0.0019
629,0.011
642,0.0376
656,0.005
670,0.0213
671,0.0013
672,0.0025
687,0.0036
688,0.0363
693,0
705,0.0394
726,0.004
739,0.0309
746,0.0453
753,0.0031
766,0.002
772,0.0076
773,0.0023
797,0.0017
798,0.0049
799,0.0036
810,0.0053
819,7e-04
834,0.002
853,0.0014
854,0.0012
870,0.0092
877,0.0063
891,0.0091
896,0.0152
899,0.0207
901,0.0198
911,0.003
925,2e-04
928,0.0089
946,0.0054
947,0.0162
948,0.0021
949,0.0323
952,0.0124
955,0.0021
962,0.0033
975,0.0096
977,1e-04
978,0.0211
998,0.0033
