"amaflix","netazon"
65.41,17.57
70,17.96
68.64,18.65
71.3,18.95
87.47,22.22
70.85,18.1
63.51,17.33
74.49,19.88
82.77,20.84
85.85,22.01
76,19.48
70.5,18.58
72.43,17.12
71.5,19.04
103.45,24.91
59.26,15.09
63.47,16.6
74.58,20.86
71.23,19.37
69.36,18.1
69.16,19.97
72.51,19.13
65.72,17.51
74.08,19.95
84.75,21.9
74.32,20.65
74.03,18.79
66.86,16.54
65.1,18.19
75.05,18.6
66.7,17.09
76.22,19.97
95.01,23.89
61.86,15.87
87.89,22.53
74.73,18.08
66.65,17.31
60.63,16.34
74.54,19.58
76.62,19.86
78.69,20.54
74.13,18.55
82.4,22.15
69.87,19.01
82.08,22.3
83.73,20.79
81.83,21.57
74.38,18.94
73.64,17.77
60.27,16.08
73.2,18.82
90.56,23.32
72.15,19.59
83.27,21.04
75.8,19.4
66.07,17.06
72.14,21.06
55.13,15.39
89.19,22.21
72.32,18.08
70.44,20.3
75.32,19.05
64.83,16.55
68.65,19.41
64.89,17.5
59.76,15.81
75.79,20.77
81.12,20.18
82.72,21.51
81.27,20.3
74.09,18.63
82,20.82
81.34,20.53
67.18,17.82
61.82,16.43
58.03,16.16
78.44,20.84
56.06,16.23
64.67,18.78
77.84,18.75
69.6,17.91
102.1,25.66
75.43,20.31
62.58,15.41
74.74,19.65
61.28,16.31
80.12,20.45
66.99,18.28
59.93,16.19
75.54,20.31
78.27,20.61
82.04,20.53
76.04,20.21
65.24,17.75
91.45,23.56
67.1,17.89
57.41,15.93
81.4,21.56
82.01,20.27
79.08,19.17
67.57,18.44
74.26,19.06
65.31,18.48
71.62,19.77
74.6,22.09
66.82,17.33
78.93,20.54
72.08,18.55
86.81,21.11
76.03,20.4
61.28,16.64
73.27,17.56
75.22,18.64
79.84,19.76
72.49,18.5
73.79,19.56
73.34,20.78
79.14,19.97
59.46,15.84
73.36,19.81
67.71,15.78
73.49,18.92
74.07,19.12
63.98,16.56
69.67,18.55
72.57,19.28
77.69,21.04
76.59,20.07
58.94,15.58
80.24,19.29
76.97,20.29
76.28,20.36
70.78,20.15
63.89,17.6
79.1,19.28
66.75,18.42
74.22,20.43
76.17,21.62
72.5,18.93
76.44,19.78
82.97,20.51
61.88,18.5
65.49,18.09
71.87,19.04
71.99,17.76
58.04,17.68
78.52,20.62
73.05,19.34
75.16,18.64
82.86,21.7
69.84,17.9
49.49,14.28
79.89,20.27
56.05,15.52
86.13,21.33
69.31,18.61
80.2,20.27
75.67,19.42
90.7,21.41
79.78,20.35
84.93,19.63
78.2,18.18
62.88,15.2
68.32,18.16
65.29,16.89
64.05,17.46
63.33,18.42
75.25,20.63
73.7,17.8
77.75,21.2
65.43,17.83
58.37,16.93
67.44,17.84
86.31,21.31
87.68,22.67
57.21,16.79
85.68,22.64
68.54,18.71
79.58,20.59
56.22,14.97
79.7,19.06
77.08,19.82
73.15,19.54
72.01,18.95
65.45,18.21
67.15,19.15
80.47,20.43
67.54,18.16
83.7,21.69
78.54,20.63
70.43,17
61.43,17.22
60.26,16.52
69.92,18.95
62.12,16.39
72.95,20.63
76.56,19.58
65.08,17.35
71.61,18.14
72.04,18.14
70.17,19.14
81.38,20.38
80.6,19.73
68.65,18.48
79.74,20.65
74.58,19.89
68.28,19.84
77.37,20.34
67.15,18.53
61.99,16.84
64.22,18.83
75.93,19.53
66.39,18.19
60.55,14.94
64.33,16.21
68.25,19.48
69.12,17.95
73.87,17.95
66.57,18.4
72.36,19.66
69.51,19.27
59.54,16.81
72.58,18.74
69.8,18.59
60.81,17.76
65.96,18.01
77.06,20.16
70.61,18.25
76.86,20.66
83.59,21.11
60.54,15.3
79.28,22.27
70.97,18.75
65.45,17.28
71.53,17.19
70.09,17.78
64.08,16.74
60.61,16.92
84.52,21.66
85.11,22.62
84.54,21.52
75.52,19.99
