"amaflix","netazon"
69.34,28.86
69.04,28.76
68.77,28.69
67.57,28.22
69.59,28.88
67.19,27.95
68.88,28.62
69.84,28.95
68.29,28.55
70.29,29.17
69.36,28.78
68.97,28.67
69.72,29.01
68.72,28.61
67.6,28.2
68.97,28.73
69.08,28.83
67.6,28.09
69.23,28.92
69.25,28.92
70.39,29.17
69.91,28.93
68.51,28.48
68.98,28.67
68.67,28.6
68.47,28.46
68.02,28.44
69.24,28.76
70.34,29.29
69.2,28.85
69.76,29.08
67.61,28.19
68.52,28.58
69.9,29.06
68.3,28.44
69.24,28.76
68.74,28.59
70.44,29.31
68.21,28.33
67.44,28.13
69.45,28.83
68.85,28.71
69.66,28.88
67.43,28.14
69.63,28.87
69.59,28.92
69.6,28.8
69.12,28.71
68.85,28.75
69.99,29.01
69.55,29.02
68.45,28.49
68.6,28.55
70.29,29.14
68.24,28.32
68.87,28.55
69.65,28.86
67.77,28.22
67.89,28.42
68.21,28.29
69.01,28.66
70.54,29.38
69.59,29.03
69.9,29.04
69.74,28.94
69.8,29.03
68.55,28.47
69.55,28.85
69.75,28.99
67.42,28.18
69.21,28.68
68.32,28.4
70.49,29.17
69.84,29.03
69.38,28.89
69.1,28.61
69,28.78
68.99,28.67
69.06,28.78
68.03,28.35
68.1,28.36
68.85,28.63
69.48,28.9
69.21,28.78
68.24,28.56
68.39,28.61
67.79,28.25
69.79,29.05
68.3,28.44
68.28,28.42
70.03,29.25
70.58,29.21
69.42,28.75
68.1,28.37
69.05,28.65
68.05,28.58
69.59,28.99
69.39,28.87
69.9,29.1
67.78,28.22
66.38,27.75
69.6,28.9
68.31,28.45
67.99,28.29
70.39,29.2
70.02,29.27
69.94,29.06
69.56,28.82
67.99,28.34
70.31,29.12
69.35,28.77
68.91,28.72
70.91,29.4
68.63,28.59
68.8,28.67
69.99,29.21
70.01,29.02
68.56,28.49
69.85,29.06
69.29,28.76
67.58,28.3
69.29,28.76
67.36,28.09
69.51,28.91
68.77,28.69
68.59,28.49
69.55,28.92
69.78,29.07
69.54,28.8
68.17,28.39
66.79,27.81
70.2,29.24
69.58,28.92
68.41,28.28
69.39,28.83
68.7,28.64
69.21,28.77
68.45,28.55
68.41,28.51
68.67,28.65
68.45,28.5
68.88,28.48
69.2,28.89
69.73,29.03
69.92,28.97
68.76,28.58
68.83,28.65
69.18,28.7
67.91,28.28
69.18,28.84
68.59,28.54
68,28.32
69.29,28.76
69.77,29.04
68.73,28.56
68.59,28.47
68.12,28.33
67.81,28.36
68.5,28.55
70.75,29.26
69.01,28.66
67.98,28.25
68.42,28.41
69.39,28.88
68.7,28.62
69.49,28.85
69.72,28.95
70.42,29.19
69.57,28.87
68.05,28.52
70.58,29.21
68.65,28.52
69.03,28.72
68.41,28.49
68.74,28.62
69.65,28.94
69.52,28.89
69.47,28.96
69.14,28.72
70.25,29.19
69,28.64
68.91,28.68
68.42,28.58
68.67,28.68
69.65,28.82
68.88,28.66
69.03,28.74
67.83,28.28
69,28.58
67.55,28.21
69.03,28.8
68.41,28.55
69,28.9
68.74,28.58
68.56,28.52
69.9,29.02
67.58,28.13
68.57,28.49
68.03,28.41
68.09,28.29
69.78,28.84
69.53,28.92
68.77,28.72
68.92,28.73
70.06,28.96
68.66,28.63
68.52,28.53
69.88,28.97
68.93,28.77
69.37,28.83
68.29,28.46
69.55,28.88
68.57,28.62
69.4,28.85
71.21,29.38
69.61,28.95
69.55,28.86
69.26,28.8
67.62,28.25
70.15,29.07
69.13,28.74
69.98,29.06
68.57,28.56
69.29,28.79
69.74,28.96
69.26,28.76
69.03,28.71
68.07,28.42
69.4,28.89
68.83,28.55
68.22,28.5
69.73,28.9
67.36,28.06
68.38,28.51
67.43,28.09
69.43,28.77
68.33,28.63
67.28,27.89
69.22,28.76
69.3,28.82
68.46,28.47
68.79,28.73
67.66,28.25
69.52,29.03
68.7,28.65
69.61,28.99
69.8,28.94
68.27,28.42
68.9,28.7
68.45,28.63
68.4,28.5
69.24,28.84
69.19,28.82
68.72,28.66
68.77,28.53
69.13,28.77
67.23,28.14
68.48,28.43
68.59,28.58
68.38,28.32
68.94,28.63
68.9,28.71
69.98,29.03
68.66,28.58
68.56,28.47
