"x","pmf_x"
1,0.022
7,0.0227
10,0.0088
12,0.0045
17,7e-04
21,0.0095
46,0.0019
62,0.0032
73,2e-04
86,0.0011
96,0.0112
129,0
130,0.032
132,0
156,0.0122
162,1e-04
187,0.0049
197,1e-04
213,0.0109
219,1e-04
227,0
230,5e-04
238,0.0122
261,0.0064
262,0.0048
265,0.0074
268,1e-04
270,0.0862
271,1e-04
272,0.0359
288,9e-04
295,0.0044
317,0
321,7e-04
341,3e-04
378,0.008
390,0.0023
392,0.0246
404,0.0014
405,0.0031
406,9e-04
428,0.0011
503,0
510,0.0118
517,0.039
539,0.0104
561,0.0134
570,0.0014
581,0.0312
598,3e-04
611,0.0091
633,1e-04
649,9e-04
656,0
671,0.0146
682,0
691,0.0129
693,0.0581
697,0.0014
701,0.0032
725,0.0117
726,0.0071
733,0.0016
736,0.0477
741,0.0123
745,0.0017
749,1e-04
755,0.005
757,0.0115
766,0.0052
768,0.0228
782,0.0079
791,0.0044
798,0.002
801,0.0251
817,0.0061
822,0.01
829,1e-04
840,0.0106
850,0.0076
856,0.0015
865,0.0536
872,0.0033
880,0.0373
883,0.0011
904,0.0231
915,0.0089
931,7e-04
932,0.0015
938,0.0039
943,0.0278
952,0.0219
960,0.0194
961,0.0061
981,0.0139
984,0.0158
993,0.0045
