"x","theotherone"
-1.0275,0.85987
-2.17623,2.33361
0.81964,0.26247
-0.21702,-0.31557
-0.31945,1.84871
-1.55746,-0.47186
0.16463,0.07754
1.77939,0.56916
-0.00853,1.50585
0.56333,2.6931
0.65124,-0.33464
-0.67135,-1.98266
0.31672,-0.07601
-0.46841,-1.29424
0.44331,0.36725
-1.42723,-2.36319
-1.25423,1.94269
-0.58995,-0.37198
0.24402,1.74381
0.00959,-0.79625
0.25449,-0.21112
1.64964,0.9156
0.89705,1.94209
0.47076,0.80712
-0.32281,-0.084
0.86567,1.36068
2.88153,0.49554
-0.303,-0.22557
-0.45281,-1.16952
0.16966,0.91411
-1.09266,-2.21669
-0.76842,1.10679
1.12125,-0.10704
-0.39654,-0.48945
0.01034,0.36991
-0.77088,2.13479
-1.01492,-1.66247
1.41815,0.53312
-0.52026,-0.77876
-0.23844,-0.84848
-1.48247,-0.30945
0.47978,-0.74829
-0.7828,-2.02998
0.90551,0.4989
1.72803,-0.30035
-0.16734,-0.79407
-0.23889,-0.09355
-2.77631,0.61605
-0.13976,-1.54171
-0.69346,-0.23063
-0.01744,0.82436
-1.56008,0.36275
-0.55025,0.59485
0.60761,0.54656
0.20984,-1.29805
-0.12904,1.69847
-1.49698,-1.81207
-0.76749,-0.59353
-0.27703,0.02157
-0.77363,-0.5967
-2.14684,0.5968
1.16178,-0.2163
-0.13489,0.00156
-1.42531,-0.1278
0.08238,-0.19759
-0.02757,-0.46685
-1.17191,0.88144
-0.23113,0.43147
-0.87067,-0.55163
1.3015,-0.93858
1.52327,-0.03579
-0.16662,-0.13527
0.68381,-1.05454
0.31574,0.2043
0.04548,-0.54168
-0.07952,0.7342
2.19094,-0.04322
-1.25008,2.11829
0.03912,-0.46147
0.47869,-0.40264
0.26166,1.69264
0.12342,-0.27128
0.65605,0.43077
-0.34001,-1.57221
-0.91056,1.33407
-0.19311,0.1872
-0.33242,0.59808
-0.25492,0.68652
0.75775,-0.87562
-0.41708,0.24244
-1.85553,-1.17689
1.98224,-0.9637
-1.11091,-0.83478
-0.78369,-0.73663
-1.32217,-0.26343
0.42873,-0.7002
-0.21998,0.63826
-1.49692,0.4859
0.30096,-0.91858
0.6457,1.96667
0.10155,-0.23274
1.11352,-0.86246
-1.00141,-0.28352
1.12277,1.73399
0.36847,-0.5401
0.2766,-1.14655
0.42277,0.93494
-0.88755,0.67025
-0.27889,-2.64903
-1.04702,-0.16078
0.87658,-0.74493
-0.49787,1.07349
-0.69798,-0.07585
0.51519,-0.72092
2.28668,-0.2687
0.30219,-0.0581
-0.77854,-0.66712
0.76316,-0.11226
1.30579,0.28829
-0.48079,0.16791
0.4111,0.44952
-0.72249,-0.35844
1.29211,0.27944
-0.7993,1.40919
0.67185,0.30071
0.71041,-0.34801
1.07586,-0.38718
1.5362,0.5826
0.34904,-0.52663
1.57534,1.05634
-0.50978,0.45292
-0.09014,-1.29885
0.83155,0.1947
-5.10197,-4.70454
-0.37445,-0.95349
-0.47699,-0.27203
-0.49069,-0.40817
-2.14007,-0.1651
-0.52191,0.97329
1.19514,-0.60852
-0.4231,1.38943
1.82415,0.72416
-0.24014,0.38568
-0.70491,-0.71353
0.67469,1.37176
0.03631,1.50332
0.11639,0.7238
0.70834,0.67949
-1.21705,0.40921
-1.70849,-1.36752
0.5023,-0.05305
1.06584,-1.53874
1.83706,-0.57141
-1.16045,1.47164
-1.30574,-1.02817
-0.11987,1.76965
0.89067,0.12197
0.45686,-0.73965
0.4301,-0.19321
-0.09169,-0.30253
-0.75954,0.56305
-0.80194,-2.83827
0.85241,0.77604
-0.642,1.118
0.89791,-1.20039
0.5401,0.92672
-2.10866,0.3048
-0.0524,1.80998
0.65308,-0.56236
-0.33287,-1.11207
-0.01773,-0.22834
1.1339,0.86328
0.9227,0.4907
0.00281,1.63851
0.16119,1.19217
-1.82979,-1.65422
-1.05724,1.69558
-1.01164,0.94135
-0.36412,-0.54302
-1.52231,1.42015
-0.0842,-1.74113
1.04974,-0.64486
0.43816,0.88024
-1.4657,-2.0875
2.02675,0.5971
-0.82289,-0.82854
0.67389,-1.60916
-1.61536,-1.20442
-0.64448,-1.06042
0.63633,1.14702
0.37743,0.45738
0.68162,-0.78434
-0.73483,-0.01366
1.09299,-1.19646
-0.04406,0.07169
0.51122,1.43755
-0.20504,-0.68433
1.38913,0.093
-0.72231,0.59718
0.59971,-1.32393
-2.35169,0.19327
-0.86101,0.01194
0.42907,-0.15813
0.8548,0.46261
-0.8479,0.22218
