"x","pmf_x"
11,0.0141
23,0.0526
24,0.0094
37,0.0183
43,0.0229
47,0.0279
87,0.0052
106,0.0206
114,0.0013
124,0.0059
131,7e-04
148,0.0064
193,0.0072
195,0.0012
211,0.0218
213,0.0287
219,0.006
223,2e-04
229,0.0051
238,0.012
249,0.0189
252,5e-04
256,0.0062
266,0.008
274,0.0046
278,0.0128
309,0.003
313,0.0026
325,9e-04
350,0.0056
358,0.0046
363,0.0019
369,2e-04
378,0.0144
382,0.0113
385,0.0284
417,0.0112
418,0.0164
420,0.0057
433,0.0055
439,0.0144
442,0.0078
447,0.0231
463,2e-04
474,0.0018
480,2e-04
484,3e-04
489,0.0305
501,0.0074
509,0.0053
512,0.0344
516,0.0173
523,0.0013
527,0.0079
530,0.0046
537,0.0353
557,0.0073
563,9e-04
568,1e-04
580,0.014
581,3e-04
583,3e-04
588,0.0038
606,0.0208
609,0
610,0.0039
626,0.0084
645,0.0015
656,0.0374
665,0.0015
692,0.0124
703,0.0071
708,0.0126
712,0.0036
720,0.0014
725,0.0297
731,1e-04
737,0
750,0
762,0.0042
768,0.0033
771,0.0185
787,0.005
791,1e-04
801,0.0048
814,0.0058
816,4e-04
826,1e-04
845,0.0019
852,0.0012
853,0.0013
866,0
871,0.0087
872,0.0011
875,0.001
880,0.0078
898,1e-04
900,0.001
906,0.0233
914,0.0026
918,0.0013
933,0.023
934,0.0043
948,0.0129
951,0.0015
959,0.0247
963,9e-04
970,0.0161
983,6e-04
997,0.0171
999,0.0109
1000,0.0054
