"x","pmf_x"
5,1e-04
6,0.0012
9,0
12,0.0484
24,4e-04
31,0.0299
42,0.0129
62,0.0012
64,0.0032
68,0
69,6e-04
73,0.0012
77,0.0191
79,0.0114
80,0.0033
82,0.0032
89,4e-04
95,0.0148
103,0.0103
118,0.0035
128,0.0063
129,0.0069
135,3e-04
138,0
174,0.0109
179,0.002
188,0.0171
193,0.0579
222,8e-04
228,8e-04
244,0.002
259,0.0291
263,0.0012
271,0
278,0.0159
286,0.0042
294,0.0015
320,0.019
324,0.0143
332,0.0018
333,0.0072
350,0.0123
399,0.0012
406,0.0011
425,0
428,0.0015
434,0.0549
440,0.0054
451,0.0058
452,0.0012
468,0.0085
473,0.0051
476,0
505,0.0283
507,0.0142
515,0.0022
519,5e-04
524,0
530,0.0109
546,0.0028
565,0.0082
587,0.0064
599,0.0097
600,0.0036
623,0.0106
627,0.0039
652,1e-04
653,0.0109
657,0.0014
668,0.0269
674,0.0339
715,0.0075
737,0.0072
742,0.0104
743,0.0196
756,0.0068
767,0.0217
770,0.0034
778,0.0012
779,0.006
804,0.0075
805,7e-04
809,0
825,0
830,0.0057
841,0.0102
853,0.0437
866,8e-04
868,8e-04
879,0.0092
887,0.0154
892,3e-04
895,0.0021
901,0.0014
903,0.0027
906,0.0045
907,0.0118
922,0.0127
926,0.0209
937,0.0352
938,0.0208
939,4e-04
951,0.0032
966,4e-04
969,0.0011
977,0.0059
985,0.0454
987,0.0171
989,5e-04
