"x","pmf_x"
9,3e-04
16,0.0176
49,5e-04
70,0.0033
71,0.0247
77,0.0177
96,0.0137
113,6e-04
129,0.002
139,0.0066
145,0.0185
158,0
162,0.0334
168,0.0042
169,0
174,0.0209
175,0.0105
182,0.0411
184,0.0161
216,4e-04
229,8e-04
239,0.0037
245,0.0258
248,0.0274
254,0.0019
267,0
271,0.0091
272,0.0014
284,0.0414
289,0.0092
302,0.0019
312,0.0024
350,0.003
361,9e-04
364,0.0069
367,0.0078
368,0
383,0.0021
385,0
388,0.0158
404,0.0016
408,0.0142
414,0.005
420,0.0019
438,0
441,0.0029
445,0.0118
447,5e-04
449,0.0354
454,0.0057
459,0.0104
468,0.0026
473,0.0012
478,9e-04
490,0
529,4e-04
532,1e-04
533,0.0025
555,0.0051
575,0
592,0.0227
597,0.0038
605,1e-04
609,0.0112
625,0.0011
636,0.0315
671,0.029
679,0.0041
693,0.0027
694,0
704,0.0033
708,0.0028
726,0.001
739,0.003
741,0
742,0.052
751,0.0083
756,0.029
760,0.0168
765,0.0022
773,0.0084
784,1e-04
789,0.001
793,0.0073
805,0.0139
807,0.0193
814,0.0034
816,0.0058
826,0.0263
830,0.0227
834,0.0055
838,0.0187
846,0.0371
867,0.0012
872,0.0023
875,2e-04
895,0.021
901,0.0111
913,0.0204
918,3e-04
935,0.0075
942,0.0027
959,6e-04
964,0.0027
973,0.0111
992,0.029
