"x","pmf_x"
21,0.0067
27,0.0147
28,0.0182
47,0.0254
51,0.013
62,0.0182
83,2e-04
84,0.0241
86,0.0054
100,0.0029
117,0.0028
118,0.0054
156,0.0011
161,0.0092
199,0
201,0.0042
205,0
217,0.0064
228,0.0202
239,0.0108
244,0.0048
254,0.0204
257,0.003
262,0.0203
272,0
312,5e-04
331,0.018
336,0.0016
340,6e-04
343,0.0096
355,0.0063
362,0.0015
373,0.0032
382,2e-04
398,6e-04
410,0.0225
422,0.0282
445,8e-04
449,0.0795
477,1e-04
482,0.0077
511,0
512,0.0012
515,9e-04
534,0.0024
554,0.0042
560,0.03
566,0.0033
579,1e-04
580,0.0022
599,0.0021
604,0.0058
614,0.0142
618,0.0042
620,0.0075
638,0.0019
652,0.0232
659,0.0228
677,0.0038
697,0.0323
698,0.0282
717,0.0227
724,0.0062
740,0.001
746,0.0019
747,0.0166
752,0.0409
769,3e-04
770,0.0018
779,0.0079
787,0.0089
796,0.0162
802,1e-04
809,0.0014
814,1e-04
826,0.0033
829,0.0149
833,0.0225
856,0.0051
883,0.0028
923,0
929,0.038
933,0
934,0.0314
937,0.1253
938,0.0093
964,0.0127
983,1e-04
