"x","pmf_x"
2,0.0066
5,0.0065
9,0.0442
53,0.002
62,8e-04
92,0.0017
101,0.0018
102,0.0016
103,5e-04
107,0
153,0.007
168,1e-04
172,0.0055
181,9e-04
186,5e-04
195,0.0415
200,0
205,0
209,0.054
219,0.0111
224,0
231,2e-04
252,0.0011
261,0.0056
266,5e-04
274,3e-04
284,0.0083
285,0.0039
290,0.0262
336,6e-04
343,0.0532
358,0.0265
360,0.0011
361,0.0013
369,3e-04
374,1e-04
375,0.0072
405,0.0013
428,4e-04
433,0.002
438,0.0061
439,0.004
442,0.006
460,0.0017
480,0.0415
482,0.0083
497,0.0018
502,0.0287
505,0.0016
514,0.0187
523,0.0257
554,0.0012
556,6e-04
565,0.0045
568,0.002
571,1e-04
577,3e-04
582,0.0513
595,0.0201
598,0.0386
600,0.0048
608,0.0127
614,0.0053
620,0.0011
632,0.005
640,0
643,0.0036
645,0.013
663,4e-04
673,1e-04
683,1e-04
694,0.0021
706,0.0204
708,0.0246
728,0.0437
730,0.0017
737,0.0208
741,0.0029
743,3e-04
753,2e-04
775,0.0416
778,0.0023
782,0.0091
789,0.0045
805,2e-04
809,0
817,0.0145
826,0.0076
835,0.0128
840,2e-04
850,0.0057
851,0.0055
867,1e-04
869,0.0033
880,0.0044
890,0.0146
899,0.0297
901,0.0066
904,0.0021
917,0.0022
918,0.0032
923,0.0053
936,0.007
945,0.0159
962,0.0178
981,0.0174
982,0.0144
