"alpha","beta","gamma","delta","epsilon","zeta","eta","theta","iota"
4.17156676333604,7.49562488969287,4.17156676333604,9.02832669779982,9.36930850417277,5.53468841559142,7.45126034162909,8.04755051154643,20.7420937049172
4.65164827482702,7.44085003031079,4.65164827482702,8.6919259599613,10.3501125570663,6.88737972496978,8.88682327750354,5.55490185506642,11.6057185409925
3.46170660291295,5.91857207131693,3.46170660291295,8.45706111039769,11.0851768738251,7.36582313504745,7.90554555969128,9.10039861686528,22.7225510861166
4.74443475453505,6.26531280885407,4.74443475453505,8.5203084465652,10.6332680446324,6.61963424203005,6.91441392644248,5.62358951661736,14.4526535856658
3.85005496729245,8.18661626939204,3.85005496729245,8.38438479430118,9.04199471066263,7.16490817848866,7.41461227853438,6.11440524226055,13.5736278389585
5.01232696767947,6.28308060495398,5.01232696767947,8.763190443099,8.31600197347434,8.27638550294656,9.10866171658552,2.80424715718254,8.11064251908861
4.77703045925238,5.99231890655256,4.77703045925238,8.85189286095422,11.4688471359205,7.36918141407899,8.245670130793,2.73887265706435,15.9574110341237
5.8877716479113,7.70250962118816,5.8877716479113,8.20206332633046,11.2081719610621,5.30529171053245,9.25535637558956,2.49974017497152,18.5223755966357
4.40784472012325,5.74887443688653,4.40784472012325,8.89431534118597,9.75912967444181,7.29811483769255,9.21023467616855,0.545985919889063,31.8802419360079
4.34428188141911,6.60647352187846,4.34428188141911,8.74279051395163,10.0285999245803,7.9373961335703,8.11078632299915,5.12509248917922,7.17019859016614
4.31748237778498,6.90003617915789,4.31748237778498,8.88012945559801,8.93419715673767,7.47616328790564,9.49244355560499,8.58393813250586,20.462306102995
4.98414180727173,7.12955820975325,4.98414180727173,8.85842005284826,10.0042734500611,7.95069918067827,7.30292437073898,9.8943494586274,34.5661841473677
4.55739521464495,7.12996836938345,4.55739521464495,8.29861523682191,9.93349822990901,7.18814364777767,7.86920404161956,7.88360269973055,16.9413144695711
5.35255749944882,6.34280070379855,5.35255749944882,8.57334064858127,10.652986426399,7.3754719184289,6.5941883824778,8.59167160699144,24.2461117056942
5.0731705822914,5.86401516835189,5.0731705822914,8.38396221444841,11.75094230414,8.10345642528666,7.32502451653407,8.50339255761355,21.4598489143462
5.00715880038065,6.7382674637844,5.00715880038065,8.64744026719868,10.0032164932301,7.6848367382182,8.53274495093135,3.9490504655987,8.72131160266807
4.81239988939775,6.78840153494579,4.81239988939775,8.77061892605495,10.7634438765888,6.34193727861713,6.97834332753691,4.21995983691886,10.9582411400036
4.23429935447461,7.32459137624867,4.23429935447461,8.61079350567887,9.57848708273962,6.32818304874714,7.13112228134026,5.6836915644817,8.54575201542253
4.77894317925504,5.1246914901579,4.77894317925504,8.86132042989685,11.0400922032584,6.9804095591354,9.67975505607022,8.95896833855659,27.0007772528787
4.0164114125298,6.13764259955522,4.0164114125298,8.95571488816655,11.8304751583661,5.14644977469636,9.13110561443015,0.341308515053242,33.8051291311193
3.89571595784903,7.73291599698844,3.89571595784903,8.23869788875696,9.32753727031617,6.8204346843798,8.73660480618344,5.14413009397686,17.5171236639717
4.06184978582164,6.80648763092505,4.06184978582164,8.87516439644327,9.15413436362964,6.23703471341538,7.3870884737764,0.616954611614347,31.4459821456284
5.67862424418257,4.72345376187492,5.67862424418257,8.80200185094172,8.37680395512692,6.25155629493114,5.72612824589921,5.80210990272462,13.4509697690771
3.42250213470517,7.04953984678668,3.42250213470517,8.21867976701546,12.3438485768953,5.48218497925508,8.494990517551,8.93646657699719,24.5823306928725
4.13006154177436,4.8807598893963,4.13006154177436,8.52520131394522,11.7988219743832,5.76555701183217,6.98522581000211,3.86213988531381,9.89031559082063
5.4846770453571,6.61287644124264,5.4846770453571,8.5464477687515,9.18084474984485,6.26719569102339,8.37820526895835,0.136354262940586,32.8534780433118
4.81394730135561,6.6303436846609,4.81394730135561,8.78696897149808,9.14167861251823,6.73051916670741,7.5569712020345,4.92415485437959,10.050895713868
6.54555470018366,8.13898437966652,6.54555470018366,8.45591379056136,10.1939330754294,6.28581996743308,6.34343513392927,4.59165357751772,9.97451082240856
4.3886199298718,5.74591295839345,4.3886199298718,9.01182435661209,10.7702471978862,6.47769324724352,8.00885752513938,2.50955662690103,17.0311968453969
4.65224351266365,7.57296504825981,4.65224351266365,8.86902510261406,9.88995795607203,6.85098395130312,7.27705338268004,2.58795235538855,11.2522027909596
3.36348369446058,7.72050339083472,3.36348369446058,8.68541577379346,11.717077409097,8.54832447962858,7.91297552090531,9.41096012713388,30.604203194571
5.02038144010004,7.40171890814071,5.02038144010004,9.05151297024775,10.9611466550896,5.8182345697307,7.33655891665034,3.2235766435042,8.920689495102
5.89174268016784,8.55556046603429,5.89174268016784,8.98147063363473,10.8555770448288,7.44335088435813,8.86973505802324,9.18776990380138,27.0019786433789
4.12725031674775,7.93538027900906,4.12725031674775,8.73575355597175,10.8250473577444,5.35533005160764,8.66978815887746,3.13778713811189,17.9062262282652
5.89005082983948,8.20370590001458,5.89005082983948,9.06083749064485,9.33489958015342,6.61124349182136,8.84944716549946,2.40808357717469,13.8240982268285
4.65612565387065,5.45730759580115,4.65612565387065,8.39713648346432,10.4035751943081,4.80620130017904,7.67372390465335,3.3448447776027,11.9008505955875
2.813218631672,6.73882777734641,2.813218631672,8.6545451046367,11.3897823897694,8.31834551021251,9.87838003440428,6.54444383922964,8.40080292618236
5.88005818149204,7.25401866893917,5.88005818149204,8.25954316011033,8.64858252137587,5.36277460582892,8.2091665324426,7.45336150052026,9.66470719154703
5.72385655614643,5.07731679378022,5.72385655614643,9.20075480021143,11.1284888535242,8.03075158958876,6.31654515137834,3.58281009830534,13.862294096004
5.2198526802605,5.93396673003254,5.2198526802605,8.33180111929386,10.0789626632412,8.1707530106471,9.5017694467163,3.87610633159056,11.9332963725558
5.78987057400076,6.52493343338929,5.78987057400076,9.20326746070981,10.2137631354776,7.8265040751394,7.58008004361167,1.92275870125741,21.717504954157
4.77000609992244,6.73779167511003,4.77000609992244,9.07116138712707,8.62054001454278,5.998849196907,7.89601690815367,8.25524128507823,21.0078292056386
4.18149751737228,7.66375822600995,4.18149751737228,8.66877439225929,10.0626144678568,7.36441504443905,8.0839921284824,7.14852357050404,12.8594933178332
5.49973415728563,8.19286629671347,5.49973415728563,8.65521153085925,10.9762639203495,8.81338891514149,8.16413299708446,8.27077091438696,18.9920592501332
5.15919234808602,6.82303334120206,5.15919234808602,8.4964396325559,11.363657969882,6.33176354517902,7.60885486447743,0.595874045975506,26.1413378659528
5.54262642817767,6.21469960869602,5.54262642817767,8.20535776375787,11.1224925839955,4.81589518943881,8.21237711597305,2.18709752196446,24.1836924060059
4.84335494581728,7.58177196863584,4.84335494581728,8.14353449313011,7.12940979366658,6.03925594552433,7.71373306044228,1.06771420454606,28.9266514406826
5.43879332064264,6.31812661751046,5.43879332064264,8.95154975329588,11.236207925653,6.79763274891914,8.20761274062709,2.08794235717505,21.6431972006358
6.48787059522956,6.40308720303421,6.48787059522956,8.66491614313198,10.4633463199159,6.96128028338075,8.34233840860451,3.0339017813094,12.7201851043593
5.06016509779543,6.604039800776,5.06016509779543,8.62822622013993,10.8989189016913,5.90133512644467,8.44150620176224,8.36237616604194,19.9898364046415
4.15098713206768,7.12129371144846,4.15098713206768,8.74466523431988,10.5877171018543,7.75228836935757,10.4486326639442,8.00051295664161,19.6605094201186
7.3396930572073,4.53982497688066,7.3396930572073,8.55204349439107,9.31089775656462,6.08351152726149,6.56897957530221,9.8342321976088,32.7132769189186
4.87879704779261,6.64821473347981,4.87879704779261,8.49095294417902,9.62744864404295,5.5101738768791,9.79826432320738,6.47593431407586,6.81508608519152
3.04979262894237,5.53954921384881,3.04979262894237,8.22258512182766,9.96035616957141,6.64092964225886,8.07986374390541,1.1445450480096,24.2345669602288
5.53871149030854,5.56843329155145,5.53871149030854,8.30131751916089,16.2000245684516,6.22338664424823,8.73069163306271,2.17525580432266,19.3613645813328
