"","alpha","beta","gamma","delta","epsilon","zeta","eta","theta","iota"
"1",14.5870197028338,16.2278764116129,14.5870197028338,11.6536745340119,8.92400776210834,11.8133631917383,8.58861473521105,3.25801322469488,10.7767675442224
"2",12.5558545143659,15.3838745665639,12.5558545143659,11.338305234178,8.76474251359203,8.74430451228641,8.1543471402129,1.93861254723743,20.0049738949252
"3",13.0744723692545,15.4409839810404,13.0744723692545,11.502193627823,9.56640787939372,9.67764248688693,8.09559481919028,5.9049391746521,10.4910282497182
"4",13.1178760835433,15.9056934832509,13.1178760835433,11.21366023329,7.22443782012758,10.3808015636235,8.4396158404513,0.25956850964576,27.6798824643317
"5",12.8891399978497,14.5268726453477,12.8891399978497,11.3836546418751,9.40792583429426,10.6515102699348,7.78339597101672,4.58336389157921,13.6914770280554
"6",13.6477810630527,15.0998937107723,13.6477810630527,10.9353001295197,9.84515168238831,12.5350930192785,8.13977195477793,2.61956290341914,14.1652801299454
"7",12.1168485617467,14.8191785788039,12.1168485617467,11.5280568112883,9.90508302855288,8.51801394409736,8.01697159721173,7.34680764609948,8.66793627218025
"8",11.594375949999,15.3323117544734,11.594375949999,11.5213154661762,8.73497717264294,10.7106720257109,6.82514651351411,3.03237023530528,12.5020251372218
"9",12.4052596893814,16.0142292792233,12.4052596893814,11.4981363659428,9.79521991301298,9.96265570036193,7.61484285410528,3.81401259917766,15.0031775497836
"10",12.7685526106602,15.6358222270421,12.7685526106602,11.6179734977887,8.42929235665476,10.3610007353535,9.15523338015676,7.21998983761296,13.3937695617993
"11",12.1031439291257,16.3421746973023,12.1031439291257,11.598313976792,6.87932778950498,10.7533363156514,8.35466227914639,4.81618610210717,8.34004924600689
"12",13.1463263086287,16.2385019494974,13.1463263086287,10.9544637676391,8.7751808869468,8.56416481418852,7.80873708776722,2.45601065456867,17.6648450784459
"13",12.1572154472575,14.2529061613568,12.1572154472575,11.094379678718,10.2802638089071,10.0757253770458,9.16323329552623,6.25049532391131,4.27195790906553
"14",14.9933814468141,14.7642733847594,14.9933814468141,11.6101334911817,9.68312691447625,9.36871478408418,9.99027907952033,5.29760400531814,3.62046103013994
"15",13.4628321678818,15.5456470306517,13.4628321678818,11.3789812603736,8.84193772823409,8.91627163073522,8.69938038481212,1.55162735143676,25.7748712416128
"16",14.223607963643,16.2014727025781,14.223607963643,11.5683221749064,7.22294781058161,9.72950751931885,9.22655390341424,8.69929307606071,25.3576891219762
"17",12.8698953400991,16.0312309564166,12.8698953400991,11.2518638201271,10.8926372748338,8.0246410664231,9.10878798781895,1.52030971599743,24.2322764746796
"18",14.0633693115949,15.5723550697588,14.0633693115949,11.2606669732043,9.93334077774444,8.25867199719855,8.26148783041831,1.10495799221098,27.8112596924458
