"x","theotherone"
0.94711,1.4834
-1.815,0.71306
0.14603,-0.37212
-0.12087,0.41124
0.05859,-0.05761
1.40296,-0.78477
0.14008,-0.98447
-1.91112,-0.18817
0.97238,1.37212
-0.88573,1.41255
0.26947,1.52472
-0.87165,-0.9308
-1.94061,0.1768
1.23395,0.71012
1.1078,1.71637
1.11681,1.23721
-0.41471,-0.52688
-0.73942,-0.48829
-0.55149,-0.27279
-0.56921,0.1394
-1.15613,1.1723
-0.82833,1.23843
-1.26476,-1.60376
-0.39832,1.5648
0.90674,1.24094
0.18757,0.90091
0.4621,0.00161
-0.47366,-1.66836
0.17037,1.0213
-1.13725,-1.04091
0.78098,1.20521
-0.20327,0.49675
-0.33257,-0.12398
-5.07069,-4.90447
-0.25512,0.69898
-0.51347,2.1197
-0.7354,0.13523
-1.27025,-1.26854
0.75186,-0.5286
-0.96097,1.2335
0.3992,0.29115
-0.62286,0.11997
0.33823,0.38298
1.86337,-0.22346
-1.38046,-0.28603
-0.26669,0.74146
0.82307,-1.63772
0.36637,-1.24074
-0.83218,0.56443
1.68038,0.21284
-0.65402,-0.55636
-0.04317,1.82464
-0.43377,2.54941
-0.51667,0.06659
0.27588,-0.60309
-2.29887,0.60943
0.70436,-0.43116
0.95119,-0.8841
0.42192,0.11737
0.6779,-1.19667
1.71165,0.32147
-0.33094,0.08597
0.09942,1.6623
-0.04358,0.64054
0.80127,-1.21233
-0.36277,-0.12874
-1.01448,0.88368
-1.6397,-2.01823
0.39519,-2.37473
-1.53407,2.097
0.64255,-0.03274
-0.28272,-0.08208
-0.21131,2.21168
0.43268,0.82819
0.21879,0.35995
-0.07122,0.28591
0.0557,0.29441
-0.44921,0.64866
0.13285,0.59446
1.11185,0.51859
0.01425,0.61399
0.02524,-1.59581
-0.55193,0.32268
-0.28909,-0.17967
1.70745,-0.27332
-0.42491,-0.03571
0.80774,-1.99892
-0.13312,-0.22664
-0.56329,1.86621
1.11131,0.59971
1.08035,1.05672
0.41783,-1.61515
-0.92295,2.01385
-1.83735,1.10436
-0.82989,-0.75704
-0.07328,0.56479
-0.29744,-0.48972
-1.15684,-0.48398
-1.16958,0.33296
-1.12404,-0.21179
-2.27933,-0.46381
-0.18168,0.31883
1.70839,0.81709
0.17433,0.39446
0.46083,-0.66464
-1.07584,0.32604
0.14549,-0.86673
0.49607,1.15804
-1.74989,-0.39636
-0.44959,0.272
0.40997,-0.44196
0.63731,1.71244
0.18607,0.03396
-0.17952,0.21286
-0.2217,-1.59267
-0.63765,0.59622
0.27159,-0.37001
1.27695,0.16393
0.8166,-0.20022
2.42263,0.63333
-1.53975,1.97552
0.8639,-0.80451
1.10801,-1.31852
-0.02346,0.50216
-0.53667,-0.17531
0.61788,-1.7074
0.98057,0.15561
-0.14977,-0.02095
0.02658,-0.16721
1.48078,-0.01312
-0.41996,-0.57001
1.23501,-1.13795
-0.63891,-2.30858
0.43733,0.06328
-0.09121,0.92718
-0.10561,-0.41757
-1.02909,0.57812
0.00274,-0.50975
0.33946,-0.3178
-1.59548,-1.10233
-0.58306,-0.00496
-0.68668,-1.48657
-0.04719,0.91385
-0.9163,-0.23591
0.17609,2.32548
-1.41814,-0.32088
0.91787,-0.90833
0.91542,-0.82777
0.34057,-1.60625
0.31779,-1.01906
-0.18566,0.87286
-1.39302,-1.8755
0.10588,-0.10891
1.31662,0.16157
-0.42604,3.00988
-0.77419,0.95055
-0.56478,1.7837
0.13114,-1.5502
-1.10498,0.66521
0.68174,-1.2032
-2.52758,1.86287
0.54656,-0.08904
-0.51508,0.8993
-0.14336,0.76303
-0.49187,-1.90338
0.55202,0.44908
-0.30411,-0.82373
1.92396,-1.08971
0.61154,0.72336
-0.76743,0.10127
-0.04704,1.30539
0.13548,-1.48901
0.59277,1.27109
1.19037,0.4005
-1.04366,-2.49969
-0.34568,-0.6477
1.35168,-1.50355
-1.21824,0.50851
-1.2005,0.47788
-0.45045,-0.22282
0.73034,0.10143
1.47208,-0.93185
0.29239,-0.90117
-1.38422,-0.88593
0.32562,-0.3092
-1.47398,-0.08048
-0.21071,-0.22043
-0.06313,-0.0517
-0.17709,-0.1603
-0.29624,0.18156
-0.05914,0.7388
1.15364,-2.35587
-0.05246,0.13509
0.43723,-0.44535
1.02178,0.12948
-1.1138,1.17263
2.576,0.31707
0.4992,-0.82011
-0.16164,-0.23572
-0.09405,-1.29296
-0.67586,0.10151
-0.21006,-0.13593
-1.30111,-1.88836
-0.08825,-0.76371
