"x","pmf_x"
10,0.0083
18,0.0467
26,0.0282
29,0.0024
32,0.0065
34,0.0011
38,0.0034
41,0.0019
50,0.001
51,9e-04
56,1e-04
78,9e-04
89,0.0083
94,0.0103
101,4e-04
117,2e-04
135,0.0017
139,0.0049
148,0.0062
150,0.0058
152,0.0281
153,0.0308
154,0
162,0.0019
164,0.0327
166,0.0321
167,0.0259
178,0.0123
186,0.0166
214,0.0194
230,0.047
246,0.0026
259,7e-04
260,0.0486
266,1e-04
284,7e-04
329,0.004
337,0.0071
338,8e-04
350,0.0059
358,0.0568
371,0.0024
383,0.0038
394,0.0075
397,8e-04
398,0.0107
401,0.0048
406,1e-04
424,0.0093
435,0.0066
440,4e-04
447,0.0093
469,0.0483
472,0.02
476,2e-04
484,0
507,4e-04
515,0.0052
519,0.0043
524,1e-04
540,2e-04
555,0
585,0.0298
593,0.0052
602,5e-04
605,5e-04
612,0.0128
613,0.0012
621,0.0494
629,4e-04
630,0.0065
643,0.0012
653,0.0043
679,0.0014
701,3e-04
742,0.0017
751,0.0041
752,9e-04
760,0.0028
774,0.003
779,0.0137
792,0.0012
794,0.0141
799,4e-04
822,4e-04
827,0.0056
838,0.0088
839,0.0222
840,0
841,0.0017
844,0.026
860,0.0205
876,0.002
877,0.0064
878,0.0035
895,8e-04
960,0.0026
970,0.0582
993,0.0195
996,0.0187
