"x","pmf_x"
7,0.0079
13,6e-04
16,0.0359
23,0.0122
26,0.0036
29,0
58,0.0298
65,8e-04
66,0.0146
88,0.025
106,0.0017
117,1e-04
127,3e-04
142,0
147,1e-04
156,0.0038
158,0.0014
160,0.083
183,0.01
188,0.0049
213,0.0082
219,0.0014
222,0.0185
223,0.0088
227,0
232,0.0171
235,0.0053
244,9e-04
265,0.0037
282,0.0043
292,4e-04
305,0.0293
311,0.0029
320,0
323,0.0126
368,6e-04
382,0.0079
390,0.0018
405,0.005
408,0.0182
426,0.0069
437,0.009
442,0.0187
449,0
450,0.0035
459,0.0181
460,1e-04
482,0.0044
487,0.0196
503,0.0096
524,0.056
528,0.0092
537,0.0067
564,2e-04
571,8e-04
579,0.0025
583,6e-04
584,0.0156
591,0.0051
592,2e-04
595,0.0061
624,0.0065
630,0.0016
645,0.0338
658,0.0081
662,0.0164
664,0.0048
668,0.0028
670,0.0357
681,1e-04
686,0.0024
694,0.0348
703,4e-04
715,2e-04
719,0.0071
722,0.0028
747,0.0457
754,0.0064
755,0.0156
760,0.0528
762,3e-04
772,0.0017
776,0.0019
779,0.0259
795,0.0217
799,0.028
806,0.0115
820,0.0111
823,0.0035
830,5e-04
843,0.008
859,0.0013
866,4e-04
867,0.0046
903,0.0035
904,0.0156
925,3e-04
941,9e-04
945,0
990,0.0056
991,2e-04
