"x","pmf_x"
28,0.0598
54,0.0208
56,1e-04
73,5e-04
74,5e-04
85,6e-04
90,0.0055
115,8e-04
161,0.0029
198,0.0186
216,2e-04
227,0.014
248,5e-04
260,0.0123
262,0
265,0.0581
273,0.0125
274,0.0018
288,0.0068
297,0.0461
303,0.002
310,2e-04
316,0.0046
319,0.0023
327,0.0039
329,0.0176
330,0.0053
336,2e-04
353,4e-04
360,0.0035
376,1e-04
377,4e-04
389,0.0257
394,7e-04
411,0.0103
414,3e-04
415,8e-04
435,0
437,0.0013
443,0.0023
451,0.0137
483,0.0158
484,0.0087
499,4e-04
503,0
509,0.0152
521,0.0019
544,0.0152
552,5e-04
569,0.0327
573,8e-04
574,0.0015
577,2e-04
580,0.0129
582,0.0136
589,0.0092
592,0.0094
611,0.0029
649,0.021
666,0.0159
671,0.047
675,0.0032
683,0.0065
695,0.0412
696,8e-04
698,0.0582
702,0.0045
715,0.0035
726,0.0034
731,0.0051
732,5e-04
737,0.0266
741,0.0021
759,0.0176
796,0.0014
798,0.0134
801,1e-04
806,0.0128
813,0.0159
817,0.001
819,0.0022
826,0.0216
833,8e-04
842,0.0171
844,9e-04
857,0.0053
858,0.0257
867,0.0298
899,0.0012
910,0.0032
917,0.0105
924,0.0324
929,0.0033
937,0.0051
949,0.0061
958,6e-04
963,0.002
973,0.0085
981,0.0039
987,0.0192
