"x","theotherone"
-0.6602,-0.8416
0.89466,0.69328
0.37577,0.1133
-1.04621,-0.66524
-1.30161,0.4769
0.65586,-0.79507
-1.90476,-0.23628
-1.20024,-0.69144
0.64011,0.85532
-0.84302,0.61184
0.38083,0.85291
-1.51134,0.30106
0.9776,0.11283
1.97004,0.62573
1.87073,-0.86182
-5.54382,-5.32235
0.61498,-0.91046
0.27313,0.0176
2.34103,3.31252
1.09155,-0.79268
-1.77176,-0.98099
-0.33816,0.41964
-0.71477,0.31729
-1.26013,2.0675
-0.98474,0.35196
1.75623,-0.25057
0.31455,-0.44001
0.00158,-0.10257
1.06655,0.89828
0.89488,-0.22158
-2.12223,-0.06979
0.87636,-1.77233
-0.27359,-2.8839
-0.62661,-1.15706
-0.16975,0.99613
-0.00594,-0.49411
1.75959,-0.15057
1.70673,-0.15421
1.43781,0.18303
-0.788,-0.43332
1.12056,-0.77958
1.14976,-0.3993
-1.7724,-0.95419
-0.89594,0.0273
-1.33986,0.03752
2.5937,-1.14352
-0.92142,-0.77735
-0.70633,-1.76636
-0.23401,0.10993
-0.98768,0.82767
-0.40745,-0.36007
0.47525,-0.06557
0.55194,1.07988
-1.91271,0.26194
-0.87645,0.46928
-1.37087,0.8333
0.21939,-0.84641
0.67386,1.0892
-0.54531,1.09556
-0.10583,0.14041
0.32647,-1.30335
-1.41866,-1.91948
-1.09469,0.86313
-0.30577,-0.05056
0.59987,-0.2802
-0.69343,1.3859
0.5511,0.19504
1.09779,0.18011
-0.07695,0.32269
-2.2632,0.96221
-0.45517,-0.00655
-0.87439,-0.8321
1.2913,-0.82573
-0.37616,-1.20685
-1.71776,0.36484
0.94937,1.37117
1.00089,1.92294
-0.53725,0.67392
-0.67606,0.59933
1.48689,-0.63789
-0.45557,1.9874
-1.08643,0.98332
0.55163,0.40963
-0.93223,0.58175
-0.37986,-1.8973
0.3013,0.01269
-0.75405,0.23621
0.04409,1.24653
-0.5967,1.10157
0.5804,-0.24204
-0.04588,-0.35914
1.71158,-0.15956
-0.78702,0.78447
-0.72454,0.77782
-0.52412,-1.26328
0.37562,-0.56404
0.22451,-0.39043
0.44584,0.27064
-0.2117,-0.32436
0.80657,1.38024
2.69762,-0.7136
2.11158,-0.94235
-0.77061,-1.48348
0.24502,-0.07876
-0.24999,-0.94079
0.63192,0.10916
-0.51654,-1.54446
0.33388,0.41846
-1.8228,0.3192
0.47384,0.36123
-1.49023,0.96585
0.80627,-1.56843
-1.17718,-0.2517
-0.17507,-2.39296
-0.07464,1.22619
-2.47201,-0.41329
0.01213,-0.7951
-0.51986,0.46439
-0.01174,0.77344
1.10948,-1.46279
-2.75913,0.57735
0.96215,-0.87228
0.31089,-0.27461
-1.53473,-0.80283
-1.20661,0.65224
-1.78096,-1.29674
1.38196,-0.52114
-0.66197,0.47848
0.09658,-0.61493
-0.66083,0.24025
-0.18175,-1.57873
1.3434,-1.55102
-0.58722,-2.67993
-0.11959,1.65718
1.16652,0.76691
-0.12836,0.16794
1.71705,2.53107
0.6764,-1.55487
-0.26161,-0.16544
0.53038,0.21207
1.66688,1.49385
-0.00778,0.55347
0.48387,-2.06172
0.47278,-0.33664
1.46783,-1.03793
0.35507,-0.97339
-0.40443,0.60588
-0.08106,0.26427
1.54975,0.15359
1.09002,1.70212
-0.07121,-0.77227
-0.04939,0.87877
-2.06728,1.49103
0.34045,-0.46581
0.05879,-1.28619
-0.1482,0.36229
0.38689,1.98914
-0.72678,-0.21805
-0.27735,0.54985
3.17963,-0.18218
-1.00602,0.62603
0.37287,-1.06378
0.63538,0.2838
0.20629,0.68566
-0.83049,-0.69476
0.61989,0.85007
0.44525,0.98511
1.43355,-0.80805
1.68187,0.0778
0.57107,-0.27179
-1.34323,-0.49823
-0.19157,0.8956
-1.61242,-0.94924
-0.52563,-1.20587
1.05695,-0.99128
0.00301,0.18034
0.84322,0.63061
-0.13217,-0.05616
1.8467,1.02251
0.80749,0.83894
-0.45301,0.70403
-1.07296,0.55859
-0.25165,-0.3159
-0.22675,0.58686
0.96648,1.11605
