"x","pmf_x"
2,5e-04
6,1e-04
7,0.0026
19,0.0019
34,0.0328
39,0.0264
40,0.0119
42,0.0035
43,0.0242
51,0
87,0.0236
89,0.003
98,0.0213
102,0.001
109,0.0161
115,0.0485
125,0.0106
131,0.0126
135,0.0016
137,6e-04
142,0.0165
148,0.0216
151,0.0038
158,7e-04
161,0
162,0
171,0.0103
174,1e-04
181,0.0011
189,6e-04
193,7e-04
199,0.0175
230,0.0029
237,0.0037
252,2e-04
258,0.0263
280,2e-04
285,0.0145
294,0.0023
302,0.0125
324,0.0063
342,0.0131
344,0.0137
352,0.0015
355,5e-04
368,0.0011
369,2e-04
375,0
381,6e-04
382,0
391,0
400,0.0307
411,0.04
424,0.0058
438,0.0818
441,0.011
449,0.0187
491,0.0108
498,3e-04
511,0.0188
517,0.0092
544,0.0028
545,0.0161
549,0.0166
575,0.0073
589,0
590,0.0089
602,0.0015
603,0.0015
634,2e-04
635,0.0017
644,2e-04
657,0.0125
663,0.0047
694,0
705,7e-04
707,9e-04
721,0.0502
752,0.0113
759,0.0093
761,0.001
769,3e-04
772,0.0119
773,0.0054
792,0.0088
810,0.0058
821,0.0025
842,0.0065
849,0.013
850,0.0129
864,0.0021
866,1e-04
892,0.0108
916,5e-04
939,0.0017
945,0.0072
948,0.0536
975,0.0527
984,0.0019
986,0.0091
999,0.0034
