"x","pmf_x"
1,0.0031
10,0.0046
16,0.0186
38,0.0382
44,0.0047
48,0.0317
100,0.0011
103,0.0334
105,0.0014
110,0.0016
125,0.003
127,0.0088
131,7e-04
135,0.0018
147,0.0013
180,0.006
185,2e-04
196,0.0155
197,0.0136
200,0.0144
210,0.0144
215,0.0018
217,0.0019
229,7e-04
232,4e-04
237,0.0343
238,0.0067
250,0
253,0.0051
255,0.0573
263,0.0115
297,0.02
301,1e-04
306,0.0047
310,0.0075
315,0.0019
316,0.0024
317,0.0075
323,0.0123
333,0.0259
339,0.0033
345,0.0166
367,0.0093
368,1e-04
390,0.0131
392,0.0145
401,4e-04
403,1e-04
409,0.0137
423,0.0122
476,0.0057
484,0.0031
489,7e-04
502,6e-04
505,0.0101
506,0.0113
516,0.0031
521,0.0192
526,0.01
550,0.005
553,8e-04
564,0.0031
566,0.0022
571,0.0054
573,0.0403
576,0.0047
595,0.0014
601,0.0447
604,0.0357
608,0.0041
609,0.0012
611,0.0156
612,0.0047
621,0.0025
653,0.0374
665,0.0159
675,0.0037
680,0.0293
687,2e-04
697,0.0097
709,0.0124
722,0.0091
727,0.0017
728,0.0206
729,0.0018
731,0.0028
736,0.0023
737,9e-04
782,0.0333
785,0.0022
788,0.0113
807,0
810,0
820,0
834,0.0066
836,3e-04
899,8e-04
903,3e-04
916,0.0026
937,4e-04
949,0.0028
955,0.0427
957,0.0047
960,0.0029
990,9e-04
999,0.0018
