"amaflix","netazon"
57.53,91.07
78.13,85.91
62.08,76.04
68.3,72.34
60.28,77.99
78.93,71.17
70.96,74.24
64.88,76.8
65.82,78.97
84.39,67.9
78.23,73.55
67.92,70.83
71.05,76.77
72.1,88.34
77.4,80.08
77.63,80.91
79.65,74.28
73.37,68.79
84.11,71.46
61.29,76.1
79.61,81.47
73.35,80.04
82.89,77.92
81.58,78.52
69.18,83.23
72.54,82.35
75.04,89.37
68.21,72.24
78.38,74.84
76.54,76.09
56.82,80.1
59.08,80.34
90.19,69.22
100.26,75.28
60.06,90.88
64.03,72.63
91.39,67.18
91.42,86.71
53.39,85.43
73.64,70.9
53.83,81.88
79.06,69.43
78.11,77.23
79.28,75.52
81.42,90.53
69.02,77.35
83.01,74.69
78.73,84.26
92.37,74.57
50.49,80.63
85.26,85.61
77.29,87.76
70.65,70.09
59.91,64.14
62.39,66.18
69.82,73.81
82.4,77.18
96.32,94.53
53.74,71.36
75.76,66.63
73.41,71.67
57.32,74.03
67.91,81.85
65.68,74.56
73.35,76.15
68.46,77.93
69.87,80.67
73.82,82.75
64.55,84.97
65.09,81.48
72.28,73.91
77.57,72.55
72.08,83.49
66.87,69.67
94.38,65.96
73.44,88.79
68.99,66
56.85,72.42
66.87,72.98
80.9,80.08
75.53,77.27
71.13,68.99
73.2,72.64
81.7,91.23
66.17,79.09
58.06,79.04
86.11,75.69
100.85,83.49
70.76,88.6
77.01,82.45
82.34,89.12
73.33,63.9
69.88,78.1
62.2,76.93
96.72,68.56
68.63,70.89
79.69,80.3
72.02,76.81
77.46,78.63
73.06,88
65.71,81.4
68.46,74.24
72.78,79.24
78.74,75.62
52.76,69.78
69.43,78.53
74.98,74.93
85.29,82.56
62.74,74.71
71.88,79.24
67.91,80.87
58.9,81.09
65.63,74.84
67.97,79.4
64.97,69.35
85.59,75.63
91.56,79.69
71.44,69.67
71.97,77.62
65.96,73.74
75.54,70.98
81.43,62.89
65.26,80.2
85.66,70.21
74.84,64.73
89.06,76.31
90.56,93.52
82.18,74.3
73.68,81.27
61.2,78.01
85.15,79.29
81.67,73.26
71.4,80.01
70.49,64.09
48.15,72.91
72.17,73.71
93.8,74.38
68.61,81.06
84.94,81.59
81.93,75.73
80.24,87.86
70.1,75.37
73.42,76.76
88.17,74.36
61.38,88.85
67.65,75.38
86.32,75.96
84.31,78.53
68.85,82.89
76.29,79.09
65.1,88.77
91.46,72.86
82.27,84.91
72.61,90.76
61.77,69.19
77.99,72.95
96.92,81.56
68.77,76.42
86.13,88.03
70.03,69.87
72.26,81.31
76.17,82.85
102.41,84.18
74.11,78.75
69.18,74.62
83.61,79.06
82.47,85.33
58.14,80.68
59.91,70.74
78.04,81.26
79.41,87.34
69.1,76.29
75.73,71.52
81.17,74.85
53.62,82.29
60.91,86.58
67.94,85.25
71.05,78.56
62.54,76.95
79.23,83.41
64.15,86.03
77.83,77.58
78.51,83.85
72.38,89.23
72.6,87.12
68.69,79.22
57.53,77.18
53.81,77.32
77.32,68.03
77.31,84.77
82.88,85.32
81.42,75.07
65.8,83.44
82.77,85.43
63.37,71.03
76.74,87.27
74.82,80.22
85.3,82.05
65.87,76.86
79.31,78.51
52.81,70.84
89.93,75
76.74,70.1
68.61,64.4
77.76,71.26
71.84,75.84
85.87,67.13
65.6,80.08
84.72,81.42
79.1,90.5
90.46,82.91
88.05,73.06
79.97,77.7
88.44,65.12
64.82,83.31
68.28,73.32
74.48,82.44
90.02,69.96
74.93,93.47
72.52,76.1
73.97,82.73
74.64,76.72
40.54,81.65
74.1,74.67
78.11,81.69
83.78,68.56
68.41,78.56
68.52,77.15
59.52,74.08
93.15,78.07
51.62,91.75
68.91,75.19
80.12,74.65
72.55,70.78
84.55,71.89
91.02,79.66
61.63,67.3
83.64,78.73
79.49,78.8
68.99,77.61
69.06,80.81
81.97,81.25
75.84,79.44
76.41,76.85
59.93,83.09
84.86,76.7
70.45,81.22
82.45,64.23
77.38,77.22
67.12,84.9
66.42,75.76
71.82,65.62
58.73,85.45
78.25,89.7
67.14,82.21
62.65,84.38
89.33,80.95
62.42,77.49
77.12,70.94
62.44,79.11
