"x","theotherone"
0.30543,0.58128
-1.12884,1.39171
-0.81192,-0.16933
-0.36305,-0.04326
-0.25453,-0.03599
-0.6312,1.3837
-0.56288,0.8421
-0.27687,-0.5145
1.52358,-0.25077
0.33707,-0.43561
2.73028,0.74452
0.25073,0.48467
1.00869,-1.45092
-1.57396,-0.47794
1.10898,0.91973
0.08917,-0.67626
-0.70958,-0.66569
-1.53754,2.22493
0.82818,-0.54529
-0.67458,1.34229
-0.33325,-0.5517
0.13782,1.84713
-1.27453,-0.12314
-0.22684,0.32091
1.02355,-0.81608
0.1584,-0.16959
0.55447,-1.63667
-1.13335,1.98534
0.53847,0.39654
0.3292,-0.00835
1.22288,-0.92184
-2.02703,0.90636
-0.40131,-1.77664
-0.1363,0.53317
-0.341,-1.11968
0.35381,-0.53438
-0.52289,1.70755
-1.71557,-0.10461
-0.59087,1.5391
-0.19554,-1.02949
0.52309,0.8037
0.69715,0.6966
-0.42962,-0.62859
-0.39068,1.52417
1.83655,-0.84883
0.65175,-0.7118
-0.6028,0.80081
1.50543,-0.98706
0.04949,0.02751
-0.70001,2.61359
-0.8545,-2.09924
-0.11289,0.10808
1.35192,-0.22726
-0.60154,-0.91849
-0.37018,-0.11986
1.32829,-0.41239
2.17082,-1.30705
-0.63719,0.50286
-0.69208,-1.79542
-0.81952,-1.41976
-0.78812,-1.73731
0.45388,0.99722
0.099,0.40748
0.60897,1.57803
-0.56874,0.25667
1.00005,-0.4422
-0.68629,-1.63733
0.32013,-0.54843
-0.86639,-0.32644
-2.29063,1.92586
1.21164,-0.93395
0.54847,1.86797
0.69102,1.47766
-0.02978,0.68625
-1.06934,1.01742
-1.40692,0.89642
-2.33322,1.07238
-0.22054,0.13555
0.94886,-0.91214
-0.94196,1.25195
-0.59424,-1.39751
0.62268,0.15375
-1.35338,0.84995
0.9033,-1.28268
0.97155,-0.14247
0.59067,-0.03794
0.40224,-0.09563
0.89664,0.30062
-0.66942,-1.40975
-0.36713,-1.80112
-0.4773,0.72532
1.10451,0.9834
-0.98508,0.77061
0.41936,-0.61372
0.23093,0.26574
0.91292,-1.40406
1.47602,-0.89746
2.0291,1.37756
0.4126,-0.03624
-1.44577,0.3818
0.61572,-0.20399
-2.01265,-0.41762
1.007,-0.36347
0.2837,2.15706
-0.37233,2.54444
0.45654,0.06581
0.30449,-0.45043
-0.73116,1.29692
0.38251,0.82399
-0.51488,-0.912
-0.3874,1.11847
0.25669,-0.09165
1.36724,-0.43096
-0.3939,0.50203
-0.38039,-0.00674
1.17112,0.83475
0.23396,0.13955
-1.1172,-1.49269
-0.45895,-0.36566
-0.49627,-1.73372
-1.2862,-0.54647
0.03432,0.5776
0.37807,-1.03391
0.35606,1.32612
-1.29684,1.38185
0.77573,2.87234
1.58891,0.10191
0.87377,1.53121
-0.1137,-1.26114
-0.86678,1.69406
-1.03533,1.54875
2.02916,0.67395
-1.28056,1.0144
0.22757,1.64308
-1.05733,-0.9285
0.1792,0.49966
-0.9891,-1.11269
-0.05861,0.06245
2.47196,-1.14523
-1.26465,-0.4903
-1.7822,-0.33931
-0.89734,-0.43622
-0.32442,-1.15339
0.50419,-0.45767
0.75506,0.09305
-0.29534,1.35841
0.68642,0.10029
-3.03364,-0.57803
1.19416,-1.70292
-0.1251,-0.48472
1.66164,0.15593
-0.06113,-1.06027
0.23643,-0.64931
0.08394,0.67136
-0.75573,0.42794
1.36367,0.72964
0.74152,0.57032
0.48988,-0.60441
-1.03889,-0.445
0.05739,-1.29546
0.74088,1.12893
2.00335,-1.53726
2.72196,-0.47893
-0.10407,0.04937
-0.87344,-1.31587
-1.12586,0.66272
-1.77206,0.38357
0.24016,0.40908
-0.10641,-1.05661
-3.48014,5.72723
1.33293,-0.43861
0.10548,0.7354
0.28204,0.19659
0.61458,-2.43077
0.69413,0.82974
0.95717,-0.68313
0.88786,1.26393
0.04946,-0.35328
