"x","pmf_x"
2,0.0011
17,0.0025
27,0.0035
32,0
34,0.0345
46,0.0103
69,0.0164
73,0.0012
98,6e-04
104,1e-04
108,0.0079
121,0.0741
129,0.0013
135,2e-04
136,0.0027
152,0
157,0.0017
183,0.0181
186,0.0234
206,0.0062
213,0.0022
232,0.0075
233,0.0089
236,2e-04
243,0.0014
259,0.0292
264,0.0098
266,0.0176
271,3e-04
275,0.0014
277,0
281,6e-04
284,0.0087
285,0.0075
295,0.0023
303,2e-04
313,0.0113
315,2e-04
327,0.0071
347,0.0097
348,0.0022
374,0.0132
377,0.0048
394,0.0379
395,6e-04
403,0.0035
410,0.0203
430,0.0166
439,0.0023
440,0.0118
462,0.0024
463,4e-04
486,0.0044
488,0.0461
507,0.0062
508,0.0272
513,3e-04
525,0.0091
531,0.0213
532,0.0015
537,0.007
542,3e-04
556,0.0147
557,0.0171
572,0.0127
574,2e-04
637,0.0149
662,0.0012
681,0.0104
684,0.0122
694,0.0141
711,3e-04
718,0.0033
723,2e-04
754,3e-04
763,0
766,0
787,0.0271
788,0.0317
798,0
806,0.0742
810,2e-04
825,0.003
828,0.003
834,8e-04
836,0.0022
837,0.0014
840,0.0114
841,0
846,0.0139
862,0.0165
882,2e-04
895,2e-04
926,0.021
930,0.001
934,0.0079
935,0.0188
942,0.0063
958,3e-04
968,0.053
979,0.0027
989,0
990,3e-04
992,0.03
