"x","pmf_x"
1,4e-04
8,0.0033
19,0.0045
23,0.0096
24,0.0057
25,0.038
29,0.0079
45,0.003
50,0.0142
80,0.0317
93,0.0015
107,0.0429
148,0.0191
150,0.003
152,0.0112
159,0.0085
180,6e-04
181,0.0113
184,0.003
198,0.0453
230,0.0074
231,0.0068
232,0
243,0.0046
251,0.0323
276,8e-04
322,0.0485
326,0.0052
332,2e-04
355,0.004
361,0.003
362,0.0011
363,0
401,0.0146
404,0
414,2e-04
426,0.0034
430,0.0152
431,0.0045
462,3e-04
469,0.0018
487,0.0032
490,0.0239
491,0.0227
512,0.0047
514,0
515,0.0052
522,0.0102
525,8e-04
539,0.0199
551,0
557,0.0233
561,0.0094
583,0
610,0
613,0.0045
614,2e-04
625,2e-04
640,0.0156
644,0.0106
645,0.0013
652,1e-04
672,0.0596
684,0.0058
710,0.0055
719,0
722,0.026
737,0.0076
754,0.0035
758,4e-04
762,0.0207
763,0.0021
766,0.0316
788,0.0354
809,0.0028
815,0.0014
816,0.0071
847,0.0015
866,0.0034
877,1e-04
878,0.001
883,0.002
900,0.0012
903,0.0025
910,0.0033
916,0.0251
940,0.0019
949,0.0151
955,0.0032
963,0.001
973,0.0457
982,0.0538
986,0.0091
989,0.0036
992,9e-04
995,5e-04
998,0.0412
