"amaflix","netazon"
29.69,64.23
45.57,64.95
49.07,71.69
69.32,62.96
64.06,59.77
51.98,52.05
60.41,52.52
41.36,58.21
24.21,48.01
42.05,57.77
53.98,66.2
56.46,56.13
70.05,47.25
47.92,58.68
58.91,55.42
58.21,51.07
54.71,63.2
45.8,60.05
14.16,46.92
33.27,65.77
55.76,58.8
31.87,56.12
51.29,63.59
85.58,52.09
89.51,63
63.93,50.87
38.87,66.92
68.31,52.59
36.69,53.89
50.97,61.56
55.81,49.48
84.38,60.66
54.04,49.66
60.51,45.58
60.63,52.4
63.35,60.86
59.48,57.57
67.41,59.78
68.44,47.5
74.71,39.96
18.85,47.62
54.77,49.42
57.44,57.51
75.12,51.56
59.89,64.47
49.4,61.82
70.43,65.08
53.69,54.17
12.89,51.44
38.01,57.08
40.75,54.84
60.19,57.96
52.75,59.96
30.47,44.81
51.49,72.27
35.5,58.86
25.11,57.48
64.16,51.13
44.38,51.48
63.39,57.94
51.39,59.53
81.66,52.87
49.34,62.75
55.74,46.91
54.98,52.7
44.26,57.99
23.53,58.14
45.12,56.57
63.61,62.25
46.97,49.47
42.04,62.61
59.12,55.88
51.37,51.36
65.04,48.27
55.77,60.24
68.46,57.5
70.29,58.06
54.84,59.41
59.26,68.62
36.13,59.19
9.16,46.58
74.46,55.55
60.04,55.51
48.72,61.09
64.21,43.32
88.34,55.29
40.02,58.03
42.02,54.38
68.37,52.38
46.76,59.89
69.69,60.31
67.85,57.22
61.71,36.26
31.68,63.29
46.82,64.24
43.68,64.24
14.64,51.02
75.79,64.47
72.89,47.61
72.1,61.04
67.61,62.12
51.64,53.35
52.67,70.98
51.51,53.03
32,67.5
62.86,61.48
42.01,58.47
53.45,56.63
44.83,58.22
49.66,51.72
48.99,53.9
35.81,56.46
58.62,58.07
49.4,60.22
43.98,49.88
82.87,64.98
27.5,73.63
53.96,71.49
72.61,60.86
54.3,58.8
63.12,59.89
72,67.03
55.77,53.56
48.17,41.05
44.73,60.12
46.22,66.31
64.65,52.86
56.93,67.47
56.63,48.93
59.02,70.46
52.76,53.07
46.36,56.72
70.03,46.72
49.92,57.16
56.97,65.64
42.97,54.04
68.79,55.76
51.61,68.98
51.49,63.82
60.5,49.18
35.56,52.93
51.52,57.46
45.54,53.74
38.35,67.99
68.73,54.66
43.39,44.93
64.08,63.96
44.68,61.16
72.64,62.9
49.62,62.16
81.8,52.43
41.48,63.95
62.92,49.47
34.81,64.48
59.14,52.93
55.61,53.02
28.89,59.35
50.12,60.06
65.4,56.61
63.39,65.3
65.28,58.04
68.43,46.93
61.03,50.61
83.55,50.24
61.22,59.1
54.41,65.2
40.76,58.05
48.85,62.26
73.55,64.01
55.27,65.4
68.8,60.18
52.65,58.42
58.52,56.19
81.17,61.72
34.18,60.82
91.23,59.17
63.73,76.46
47.68,65.21
28.49,57.6
26.45,59.92
55.34,60.47
34.28,55.06
29.32,47.13
67.52,51.47
60.56,65.43
56.17,67.35
31.15,43.6
34.16,54.46
53.35,74.01
48.64,42.76
13.03,46.58
61.31,47.83
49.58,63.11
51.42,42.82
41.61,53.52
43.63,71.16
39.07,48.51
73.91,49.76
35.4,53.38
49.05,57.28
33.18,58.43
61.17,60.51
53.25,66.8
42.15,56.37
64.08,63.34
56.14,66.2
45.77,50.25
42,50.35
29.9,61.71
28.44,47.13
51.01,59.85
50.86,56.69
53.55,63.98
39.31,47.98
29.8,66.22
50.16,56.44
43.97,58.91
78.88,68.8
54.38,53.02
35.08,63.79
68.41,48.53
58.52,62.79
76.04,46.32
62.4,63.55
82.83,57.07
82.62,62.42
45.7,61.39
42.21,63.32
46.55,57.81
56.19,50.04
43.75,54.59
37.95,55.92
65.76,39.32
42.08,50.83
69.04,46.88
49.19,52.15
65.74,66.2
48.47,61.69
59.7,56.7
35.91,67.47
61.18,46.45
47.51,57.09
79.03,54.31
64.02,56.9
89.89,66.48
57.06,51.54
46.43,61.79
53.45,53.86
33.04,43.31
56.41,49.6
39.72,58.42
53.34,54.29
53.33,58.9
42.8,56.73
19.87,59.66
46.43,60.04
65.25,56.16
49.17,59.82
48.53,61.02
70.18,50.63
60.9,57.16
64.81,59.37
61.04,57.33
52.61,61.05
57.91,49.58
64.61,45.77
