"x","pmf_x"
17,0.0079
27,0.0056
37,0.011
57,0.0161
68,5e-04
73,0.0105
74,0.0227
76,7e-04
77,8e-04
78,1e-04
99,0
110,0.0027
111,4e-04
115,0.0136
125,0.0015
166,5e-04
168,0.0026
171,6e-04
174,0.0191
197,0.0356
214,0.0016
218,0.0405
224,0.0221
225,0.009
236,0.0024
240,0.005
242,6e-04
280,0.0122
317,0.0543
325,0.0838
329,1e-04
340,0.0386
355,0.0012
357,0.0074
361,4e-04
368,0.0016
378,0.0085
385,0.0016
398,0.0014
432,4e-04
438,0.0026
440,0.0021
454,2e-04
467,0.0076
485,0.0646
487,0.0108
489,0.0031
512,0.005
531,0.0016
537,0.0018
547,0.0303
552,0.018
585,0.0036
598,0
609,0.0049
617,1e-04
618,0.0668
623,1e-04
634,0.0032
653,0.004
705,0.0072
708,0.0043
714,5e-04
722,0.0044
729,0.0358
738,0.0229
752,9e-04
761,0
771,0.0021
779,0.0045
787,0
810,0.0061
829,0.0054
836,0.1568
854,0.0143
867,5e-04
887,7e-04
888,0.0046
909,1e-04
917,0.0011
918,0.001
927,2e-04
940,0.0154
942,1e-04
945,0.0015
959,0.0264
984,0.0076
