"x","pmf_x"
7,0.0028
27,0.004
40,0.0015
41,0.0019
45,0.0042
51,0.0121
54,0
55,3e-04
58,0.0243
65,0.0306
74,0.0543
95,0.032
102,9e-04
112,0.0042
136,0.0334
138,0.0368
140,0.0643
148,0.012
163,0.0114
169,0.0042
170,0.0093
179,0.0013
184,0.0185
192,1e-04
204,1e-04
218,5e-04
223,0.0032
246,0.0054
250,0.0152
271,0.0024
278,0.0034
285,0.0453
293,0.0067
333,0.0193
334,5e-04
335,0.0171
353,0.0011
355,0.0183
367,0.011
370,0.0031
371,0
393,0.0045
406,0.0227
407,0.0043
414,0.0138
416,0.007
425,0.0109
450,9e-04
478,0.0292
480,0.0159
481,0.001
491,0.0095
499,0.0229
529,7e-04
564,0.0181
565,0.0053
567,0
576,0.0028
578,0.008
591,0
606,5e-04
608,0.0038
610,0.0093
617,0.01
622,0.0027
661,0.0222
664,0
665,0.0116
672,0.014
678,0.0223
684,0.0134
688,0.014
693,3e-04
715,0.0019
735,0.0043
739,8e-04
740,0
775,0.0014
787,2e-04
795,0.0227
797,0.0072
801,0.001
819,0.0042
827,0.01
847,6e-04
855,0.0031
869,0
875,0
894,0.0139
906,0.0349
919,0.0035
936,0.0011
947,0.0093
953,0.005
954,0.0027
962,1e-04
971,0.0162
976,0.016
996,0.0062
999,0.0022
1000,0.0129
