"x","pmf_x"
1,0.0018
10,0.016
14,0.0042
38,0.017
44,1e-04
45,0.008
48,0.0024
61,0.0015
71,7e-04
85,0.0227
107,0.0018
111,0.0019
119,3e-04
126,0.0206
153,0.0141
155,0.03
158,0.0055
161,0.0024
174,0.0121
185,5e-04
192,0.0018
195,0.0043
202,0.0123
239,0.0025
249,0.0117
265,0.0016
273,0.025
284,0.0288
287,0.0012
332,0.0057
348,0.0184
353,0.0014
362,0.0033
367,0.0014
375,0.0079
384,8e-04
417,0.0064
429,9e-04
431,1e-04
433,0.0098
434,0.02
471,0.0771
475,0.0044
477,8e-04
486,0.0722
492,0.009
502,0.0109
504,0.0498
510,0.0067
521,0.0278
525,0.0021
541,0.0125
556,0.0197
557,0.0075
561,0.0038
570,0.0099
580,0.0067
582,0.0097
589,0
592,5e-04
604,8e-04
616,0.008
617,4e-04
631,0.0235
636,0.0294
656,0.0101
662,3e-04
675,0.0102
696,0.0097
725,0.0138
737,0
743,0.0013
745,9e-04
801,0.0132
832,0.0114
836,0.012
850,0.002
861,0
877,0.0017
878,0.0039
883,0.0029
897,9e-04
907,0.0211
910,0
931,0
937,0.0757
953,0
954,0.0055
959,0.0051
960,0.0094
964,0.028
965,0.0172
983,0.0198
989,0.0018
