"amaflix","netazon"
69.45,72.46
67.75,73.61
68.81,72.74
68.15,73.17
67.4,73.74
68.99,72.81
68.45,73.08
65.34,74.8
64.69,75.42
72.53,70.17
68.81,72.9
70.57,71.72
67.95,73.25
68.35,73.14
72.33,70.05
67.37,73.74
65.97,74.68
66.8,74.28
70.91,71.24
67.71,73.59
70.66,71.46
68.03,73.43
75.38,68.2
76.03,67.38
73.1,69.39
64.54,75.95
61.14,78.44
69.69,72.09
71.55,70.86
65.67,75.16
69.14,72.47
70.47,71.72
64.65,75.62
64.58,75.91
72.51,70.16
64.06,76.08
70.72,71.29
66.91,74.41
65.05,75.37
67.81,73.55
69.69,72.11
67.49,73.59
68.82,72.83
69.27,72.4
66.28,74.91
68.84,72.56
68.43,73.19
66.49,74.29
70.17,71.83
71.56,70.83
66.38,74.49
71.81,70.68
66.78,74.5
64.82,75.54
71.6,70.8
69.84,71.82
67.32,73.76
72.99,69.71
67.68,73.72
71.43,70.97
70.86,71.35
69,72.71
73.93,69.23
68.1,73.39
65.47,75.2
70.18,71.71
67.62,73.34
71.42,70.94
68.15,73.23
67.07,74.03
66.38,74.18
71.99,70.18
76.47,67.22
78.25,65.96
67.2,73.66
66.3,74.33
67.49,73.48
68.48,72.86
69.8,72.07
69.25,72.84
62.42,77.47
68.89,72.59
69.75,71.87
60.25,78.78
69.56,72.07
72.18,70.36
68.56,72.94
65.17,75.5
61.94,78.04
67.04,73.98
69.1,72.65
68.17,73.21
73.12,69.49
69.33,72.59
71.57,70.81
68.42,73.21
76.38,67.4
71.18,71.12
69.11,72.5
65.07,75.81
70.17,71.83
70.01,71.88
64.98,75.59
73.01,69.65
67.28,73.83
66.76,74.29
67.87,73.34
67.9,73.4
70.35,71.49
67.75,73.53
71.29,70.71
67.9,73.65
68.97,72.63
64.01,75.98
67.14,73.86
66.05,74.76
72.19,70.33
63.22,76.72
68.12,73.25
72.54,70.22
69.62,72.04
64.76,75.71
66.44,74.29
63.57,76.38
66.71,74
68.64,73.07
64.62,75.62
72.07,70.34
72.74,70.1
69.05,72.65
73.14,69.7
67.86,73.48
68.62,72.86
68.64,72.93
68.15,73.21
70.63,71.45
70.41,71.59
75.9,67.62
64.97,75.55
66.32,74.64
65.74,75.03
70.46,71.76
68.8,72.75
66.39,74.47
72.23,70.37
66.55,74.48
67.82,73.49
68.03,73.44
66.66,74.38
68.89,72.78
66.07,75.06
72.01,70.68
66.12,74.57
69.11,72.73
65.84,75.16
71.4,70.85
72.17,70.38
71.48,70.68
69.84,71.95
74.09,68.88
66.87,73.83
69.9,71.92
68.71,72.92
70.16,71.89
70.76,71.45
63.22,76.91
67.28,73.9
73.31,69.49
70.6,71.56
64.19,76.12
72.26,70.26
67.13,74.05
68.33,73.19
68.88,72.67
67.68,73.58
71.2,71.08
69.14,72.45
68.12,73.4
63.59,76.6
66.27,74.4
64.53,76.26
68.75,72.96
71.93,70.48
68.9,72.61
65.51,75.31
65.01,75.4
69.76,72.08
67.96,73.36
69.17,72.5
70.2,71.79
72.1,70.48
70.54,71.52
65.13,75.2
65.75,75.07
66.84,74.24
69.11,72.75
70.3,71.64
67.86,73.44
65,75.52
73.14,69.7
69.54,72.21
69.66,72.35
63.11,76.89
72.43,70.02
65.51,75.21
68.38,72.83
67.57,73.68
66.03,74.8
70.97,71.3
73.29,69.52
66.9,74.22
67.74,73.28
65.07,75.67
72.3,70.17
65.58,75.23
67.78,73.63
69.6,72.18
69.49,72.41
63.87,76.19
69.62,72.2
68.03,73.27
70.08,71.79
69.56,72.02
68.61,73.14
68.23,73.02
68.64,72.74
66.52,74.06
68.03,72.91
67.66,73.41
71.97,70.55
68.95,72.79
66.35,74.6
66.89,74.24
69.64,71.96
72.14,70.26
67.93,73.56
70.7,71.5
68.39,72.86
71.09,71.15
73.45,69.58
69.07,72.71
71.71,71.03
68.28,73.2
71.5,70.74
74.2,68.71
71.2,70.86
69.04,72.4
70.94,71.28
70.74,71.32
64.13,76.12
68.5,73.06
68.46,73.11
67.97,73.41
69.64,72.21
69.99,71.84
65.09,75.38
69.96,71.86
68.2,73.22
65.27,75.22
65.1,75.28
69.66,72.14
65.58,75.22
65.32,75.37
69.05,72.63
68.76,72.62
67.25,73.56
66.65,74.62
62.65,77.33
69.71,72.45
71.43,71.04
72.74,69.88
70.85,71.35
69.34,72.7
65.53,75.14
67.21,73.88
65.86,74.83
69.33,72.28
70.07,71.71
76.12,67.57
69,72.54
63.19,76.81
68.45,73.04
