"x","pmf_x"
6,0.0054
20,0.0123
55,2e-04
56,0.0097
73,0.0276
75,7e-04
76,0.0087
80,0.003
103,0.0012
111,0.0156
115,3e-04
116,7e-04
120,3e-04
121,0.0032
126,2e-04
127,0.0046
129,0.0073
166,0.0236
171,0.0218
179,8e-04
180,0.0174
182,0.0021
190,0.0014
217,5e-04
219,0.0196
244,0.0049
253,0.0229
269,0.0027
280,0.0144
293,7e-04
303,0.0012
327,0.0337
340,8e-04
350,0.0106
366,0.0202
371,0.0127
375,6e-04
382,0.0018
407,2e-04
417,0.0047
423,0.0167
448,0.0042
477,0.0027
481,3e-04
483,0.0122
485,0.0012
487,0.0012
498,0.0083
533,0.0013
537,0.0013
539,0.0239
546,0.0018
552,0.0025
573,6e-04
575,0.0503
579,0.008
585,3e-04
588,0.007
607,0.0109
608,0.0187
620,0.0674
639,0.0064
641,1e-04
647,0.0946
669,0.007
678,0
685,4e-04
692,0.0073
702,0.0015
716,0.0216
732,0
734,0.0265
748,8e-04
757,0.037
759,0.0051
771,0.0109
775,0.008
778,0.0029
800,0
803,0.0163
810,3e-04
824,0.0078
842,0.0049
843,8e-04
848,0.0018
862,0.0249
874,2e-04
875,0.0037
888,0.0208
919,0.0085
946,1e-04
953,0.001
958,0.0054
969,0.0051
973,0.0881
982,0.0014
995,0.012
996,0.0057
