"x","pmf_x"
1,0.0083
2,0.0066
13,0
16,1e-04
17,0.0041
21,3e-04
23,0.0083
24,0.0073
28,0.0117
39,0.0055
44,0.0097
46,0.0013
49,0.01
62,1e-04
94,0.0394
95,0.0327
105,0.0232
106,0.001
127,0.0184
128,0
131,0.02
134,9e-04
148,0.0029
161,4e-04
181,0.0818
187,0.0066
207,0.0114
224,0.0029
235,0.0011
250,0.0283
264,0.0255
269,0.0099
284,9e-04
306,0.012
312,6e-04
316,2e-04
319,0
320,0.0039
326,0.0146
331,0.0094
347,4e-04
350,9e-04
358,0.0022
364,0.0203
368,0.0021
376,0.015
388,0.0046
397,0.0031
398,1e-04
407,0.0148
423,0.0191
435,8e-04
442,2e-04
473,0.006
474,0.0044
478,7e-04
491,0.0175
509,0.0182
522,0.0065
528,0.0196
542,0.0027
551,1e-04
557,0.0073
573,0
582,0.0193
587,0.0316
588,0.0023
594,0
616,0.0026
649,8e-04
650,0.0035
652,2e-04
662,0.0068
684,0.0308
698,4e-04
699,0.0086
732,0.0276
733,0
734,1e-04
741,0.0073
744,0
749,0.0015
759,0.0237
760,0.0125
761,0.0013
767,0.0167
777,0.0086
778,0.0142
780,3e-04
801,0
812,0
817,2e-04
826,0.0028
839,1e-04
858,5e-04
860,2e-04
861,0.0015
879,0.0185
881,0.0369
885,0.0083
896,5e-04
906,0.0014
913,0.0076
914,0.0055
917,0.0034
922,0.0192
923,0.0207
932,0.0059
933,0.0021
934,0.0288
966,0.0273
