"x","pmf_x"
5,0.0215
6,0.0201
10,0.0719
24,0.0082
25,0.0036
36,0.0017
40,2e-04
54,0.0014
81,4e-04
87,0.0068
93,0.0057
98,0.036
106,9e-04
117,0.0027
136,4e-04
145,8e-04
147,6e-04
174,0.0045
189,0.0022
193,0.075
202,0.0021
208,0.0042
228,0.0351
239,0.0446
255,0.0153
256,0.0265
286,1e-04
287,0.0025
319,0.0049
320,0.0017
341,0.0145
347,0
349,0.0161
358,0.0048
375,0.0077
377,9e-04
386,0.0011
391,8e-04
392,0.0102
397,0.0021
400,0.0047
407,0.0016
409,0.006
432,0.0293
443,0.0013
445,4e-04
476,0.0411
478,0.0017
481,1e-04
514,3e-04
520,5e-04
526,0.0029
528,0.009
533,0.0014
538,0.0271
540,0.0084
546,4e-04
547,0.0033
565,0.0078
581,0.0211
585,0.0097
592,0.0017
593,0.0181
623,4e-04
652,0.0058
665,0.0123
675,2e-04
679,0.0012
689,5e-04
712,0.0091
714,0.0019
722,0.0157
724,0.0022
727,0.0088
735,0.001
750,0.008
760,0.0021
762,3e-04
770,0.0065
778,0.0625
781,0.0018
795,1e-04
805,0.0016
819,0.0046
847,0.0129
854,0.0312
875,0.0193
877,0.0054
897,0.0098
900,0.0178
931,2e-04
943,0.0465
952,0.019
965,0.0041
982,0.0141
997,0
1000,0.0154
