"amaflix","netazon"
65.79,69.94
67.01,67.09
75.16,71.76
59.61,81.63
64.52,69.79
70.12,62.14
64.33,71.15
71.27,74
70.19,69.29
62.26,73.41
74.87,75.28
63.17,77.53
72.58,71.68
72.78,72.58
74.3,78.77
66.59,76.91
67.13,71.04
73.59,78.08
72.81,69.8
70.49,70.1
60.03,74.16
68.04,67.72
68.98,77.89
72.41,82.16
72.74,81.46
73.93,68.18
69.3,77.24
80.27,75.56
71.14,78
75.18,68.21
65.65,84.88
64.94,74.41
67.56,65.61
66.29,74.44
74.12,68.1
71.47,73.26
68.2,77.66
69.08,82.05
68.4,68.52
72.42,77.81
66.57,71.85
69.1,66.52
78.41,77.93
70.98,72.47
63.44,74.28
75.87,81.59
72.35,83.46
78.71,74.33
72.68,69.34
74.34,69.94
72.92,81.55
74.66,78.21
71.03,71.13
76.22,84.67
70.17,67.25
58.89,77.9
74.11,84.1
65.89,71.95
58.36,76.44
74.97,72.91
60.8,73.33
64.66,70.72
69.67,82.09
64.58,74.19
74.05,79.5
61.85,74.38
70.76,82.81
74.01,75.7
72.36,66.16
70.94,74.74
64.71,72.06
66.67,76.75
59.57,70.12
58.73,60.89
73.3,73.61
65.16,69.78
75.16,80.1
59.36,72.28
70.59,81.06
72.43,66.11
78.63,65.03
61.3,69.23
78.59,75.23
65.93,79.02
74.75,72.14
73.77,81.03
69.76,79.76
74.42,79.44
57.81,78
77.23,69.95
75.67,73.27
71.29,63.99
69.13,74.87
71.42,85.15
74.04,76.94
75.58,70.27
83.42,64.71
68.79,77.83
71.22,79.98
65.43,81.63
70.27,84.18
72.74,76.06
74.56,71.15
67.72,65.61
71.11,64.12
72.14,68.04
76.32,73.15
75.69,64.95
80.45,74.59
60.36,76.53
70.29,83.34
67.97,87.23
75.46,71.41
60.83,77.42
61.43,74.24
71.39,78.53
67.57,70.9
69.14,78.85
66.74,72.66
68.57,70.94
74.98,80.9
75.27,73.82
79.18,69.81
73.48,77.1
68.99,79.06
72.53,77.27
60.97,72.72
75.54,68.72
60.66,76.89
78.01,71.03
72.31,76.44
69.02,73.3
73.86,65.57
78.21,74.37
72.3,75.11
63.43,86.97
70.86,74.53
74.59,81.97
77.03,71.28
71.04,71.76
69.65,70.06
77,75.5
76.62,68.62
74.16,79.31
72.54,73.29
71.17,70.93
69.89,79.54
70.07,77.46
70.39,76.81
71.28,67.58
73.65,74.14
68.27,74.83
67.56,76.19
68.86,80.1
72.75,71.75
64.72,78.72
68.88,75.02
70.47,70.94
58.31,68.82
63.49,83.93
72.74,77.91
68.03,74.09
69.92,77.26
74.5,78.82
81.72,65.06
73.63,70.61
65.73,84.81
67.69,68.18
74.21,63.67
66.98,73.46
66.08,69.96
76.49,85.38
64.06,75.02
68.57,77.68
73.76,77.76
77.66,75.34
82.6,74.33
74.93,71.33
71.89,66.2
73.15,71.52
66,75.49
74.11,80.29
68.64,76.09
77.76,75.51
76.75,75.98
66.85,77.97
67.45,84.02
71.4,75.12
70.5,73.69
74.05,65.93
76.71,68.67
71.81,82.67
72.25,64.29
68.66,71.73
71.87,70.79
74.91,74.37
71.56,71.94
69.35,80.1
71.24,86.84
70.49,73.27
64.15,78.36
68.44,67.73
69.46,70.73
72.79,77.86
69.51,74.1
72.4,83.31
69.54,65.07
74.26,73.07
72.1,68.16
70,76.1
77.56,69.06
73.76,60.95
64.5,71.5
67.01,71.51
66.1,84.26
77.48,74.82
69.31,66.59
78.55,73.24
72.65,70.29
60.99,75.69
65.67,74.23
68.04,78.5
63.04,75.94
67.87,76.93
74.85,71.62
71.47,78.68
80.38,78
69.22,83.03
69.77,75.78
69.84,73.59
64.11,78.38
67.73,76.85
68.56,73.05
70.06,69.1
67.76,73.79
67.79,73.22
83.9,72.83
80.53,81.85
73.2,58.75
75.47,77.15
65.09,75.72
76.3,71.74
70.81,67.4
68.43,75.04
69.75,74.18
71.24,79.49
70.36,70.59
82.18,69.78
