"x","pmf_x"
4,0.047
6,0
40,0.0026
44,0.0068
46,0.0018
54,0.0062
59,0.0017
61,0.0617
68,0.0345
97,0.002
112,5e-04
114,0.0207
122,0.0414
128,1e-04
134,0.0404
142,0.0198
150,0.0132
155,0.0122
166,0.0157
175,0.0012
185,0.0034
198,8e-04
213,0.022
222,0.0108
223,0.0149
255,0.0313
257,2e-04
258,0.0142
262,0.0057
272,2e-04
283,0.0156
288,1e-04
294,0
299,2e-04
302,0.036
305,0.0275
317,0
341,0.0113
350,0.0022
355,0.0141
366,0.0084
375,0.0026
398,0.0014
435,0.0253
443,0.0017
447,2e-04
449,0.0119
479,0.0216
481,0.0028
497,6e-04
498,0
540,0.0052
542,0.023
546,0.0012
551,8e-04
552,0
559,0.0167
568,0.0069
573,0.0024
574,0.0027
575,0.0022
590,2e-04
594,0.0042
600,0.0187
613,0.0013
618,1e-04
625,0.0103
626,0.0084
630,0.0032
636,0.0012
643,0.0267
678,0.0015
680,0
691,6e-04
694,0.0103
722,0.0013
739,0.0049
751,0.0305
776,0.0051
777,0.0325
778,0.0014
779,0.001
781,0.0028
787,0.0011
804,0.0011
807,0.0073
828,0.0078
838,0.0016
843,0.0023
849,0.0068
854,0.0023
859,0.003
887,0.0223
894,0.0088
905,0.0012
909,1e-04
911,3e-04
913,0.0201
924,0.0069
941,0.0113
947,0.0052
952,1e-04
954,9e-04
958,0.0136
967,0.0095
988,0.0226
