"x","pmf_x"
3,0.0088
11,0.0261
26,2e-04
28,0.0024
35,0.0131
87,9e-04
91,0.0023
109,0.0094
113,0.0011
114,0.0063
123,0.014
126,0.0074
131,0.0023
132,0.004
135,0.0359
157,0.0314
168,0.0091
169,0.0012
172,0.0069
204,0.0037
235,3e-04
274,9e-04
279,2e-04
281,0.0039
294,0
307,0.0028
314,0.0043
318,3e-04
336,0.0106
362,0.021
366,0.0133
399,0.0324
404,2e-04
413,5e-04
414,0.0041
420,0.0225
427,0.0104
435,0.0014
458,0.0041
491,0.0128
493,0.017
499,0.0142
514,0.0325
517,0.0157
521,0
529,0.0512
541,0.016
549,9e-04
554,0.0039
558,0
569,0.0079
574,0.0045
580,0.0326
585,0.0011
590,0.0123
594,0.0042
600,0.0055
605,1e-04
611,0.0155
618,0.0044
658,5e-04
678,0.0034
686,0.016
689,0.0013
691,0
710,3e-04
716,0.0265
739,0.0012
740,3e-04
748,0.0076
761,6e-04
767,0.0176
789,0.0238
799,0
803,0.0785
821,0.0051
822,0.0049
832,0.0012
836,7e-04
845,0.0149
859,0.0063
866,0.014
868,0.0069
878,0.0851
895,0.0206
922,0.0072
931,0
943,0.021
953,0.0067
962,0.0062
966,0.0462
967,0.0034
