"alpha","beta","gamma","delta","epsilon","zeta","eta","theta","iota"
7.86958178157071,10.0958575230464,7.86958178157071,9.14236365169991,10.3578929700974,9.3258660496708,6.32488983275432,0.925454848911613,24.1559928184728
9.21598888696627,11.210672998968,9.21598888696627,7.51829499045176,10.5528957260538,10.5287256482001,6.3702237962408,8.67508944356814,20.8654217479757
10.2322372850229,9.95691514590531,10.2322372850229,8.87930880926148,10.8730368263216,8.83916678547896,11.6231427077089,0.792007886338979,21.7017645236482
10.6093587068582,9.32355348529946,10.6093587068582,13.3419215055628,10.4619237514958,10.4999970806423,10.1919745703037,3.6885070707649,15.7094787168297
9.40155062675892,9.59687441774312,9.40155062675892,12.3082567976887,9.40930554957171,3.41095114354037,9.07464982217429,2.19190242933109,17.5282249303276
8.72701596579941,11.0339777459509,8.72701596579941,11.5927694644104,9.5145708725191,9.13774989597662,13.0763305964415,3.56147150974721,5.4841724440785
8.96384765762769,9.86399711896788,8.96384765762769,16.8855145724256,10.4595485909982,9.37877782886679,9.28571551589278,2.24164931569248,10.4156394270596
8.84968876551275,9.14714154602206,8.84968876551275,9.89987790642466,10.8537194234673,9.43948158900384,11.8925602696678,1.32720089517534,15.5970132984474
12.7688103513235,9.61107856321678,12.7688103513235,12.3480327050814,9.82923345029404,9.29554534125167,10.558919596192,0.900823161937296,22.1872576795332
7.34750402336969,10.09111068631,7.34750402336969,12.1870043235184,9.57501918001853,8.44198241121495,6.58493833971868,7.23400519462302,15.1494491332949
7.86485489768172,10.1984228330681,7.86485489768172,5.74776662499137,10.0457864349229,8.64660428443399,9.48693258199566,0.740181191358715,29.9333862093719
9.22767016875678,10.7806233888483,9.22767016875678,11.5486510707168,10.5499720437509,10.2290908892323,10.1765856836123,8.96358659956604,21.1946402611167
8.81668146288712,9.88611835114559,8.81668146288712,13.4211257055548,8.91496153968866,9.40258541011653,8.89931124250969,0.917550921440125,31.8149144932261
8.5864813753238,10.595373082405,8.5864813753238,6.06763382522945,8.01295443938575,8.14613820812183,8.78244569850453,6.20682269334793,13.0224939950034
8.56240471742973,10.2465865087649,8.56240471742973,8.0529199632131,10.1359076338903,10.9913121775149,10.5565050482141,7.63784600887448,18.2967739765054
8.97381564569627,9.02281358528646,8.97381564569627,15.5569394828167,11.4398785781036,9.65963124478027,8.06637453837782,3.29767708666623,12.5279131231383
8.14016582265315,10.6233080761497,8.14016582265315,5.31627070047033,9.92193398664886,10.9092244375059,7.81518614293919,1.25668940832838,22.2161349723444
9.16654457736311,10.2815488991527,9.16654457736311,12.9761408417395,8.78116165108277,9.78737230685353,12.3386535707989,9.03020098106936,26.5686870628485
10.4754907300137,9.17953982204767,10.4754907300137,10.8774565859703,11.4550808001135,12.004822070366,10.438701717329,3.28068522270769,14.8778274847359
9.1954229144036,9.81101191329058,9.1954229144036,8.76829643177132,9.77236224860413,9.82175917206532,10.0680798975258,3.85024202056229,11.2946559826185
9.1594217905715,11.1723588180904,9.1594217905715,6.12045842898232,11.3470966585123,7.78878672830909,7.51109330532164,8.64614339545369,27.5114298210999
8.27980671548437,10.3805723805051,8.27980671548437,13.2620220831013,11.1183046716613,9.2012359114049,9.82920311106328,8.27580797486007,27.0476595078025
8.06449745749688,11.1473206236136,8.06449745749688,9.73928187109219,9.10890255156089,10.8639844613615,6.79205161982865,9.12935436703265,23.5897666461936
9.28543230483315,11.9738333713433,9.28543230483315,10.6026291852478,9.23129180915152,9.6366456968245,7.09627034279335,0.238989896606654,24.193040357768
8.26076485345882,9.14616182426871,8.26076485345882,5.05311505961658,7.85670760177579,8.51954307650857,6.22488798325679,3.74734037322924,5.46935450245482
9.42914898006314,11.4447472728857,9.42914898006314,8.03985463442117,8.60143436848366,9.55312820634116,7.66493305249542,1.41669292235747,18.5095016331066
11.7339838454393,10.4251799817214,11.7339838454393,10.3505149673311,8.88501895675495,11.355244315568,9.14575678903,9.57310290308669,28.9424654306456
7.66659667124139,9.74849268150593,7.66659667124139,13.4085494929587,9.47577060924231,9.03765054788487,11.4750067987992,0.179768272209913,32.7101716228613
