"amaflix","netazon"
72.25,39.78
71.78,39.54
67.68,37.34
70.08,38.64
69.68,38.06
69.7,38.6
71.1,39.29
71.8,39.32
69.22,38.17
69.95,38.35
69.55,38.1
71.11,39.05
69.91,38.36
72.58,39.73
70.45,38.63
71.36,39.33
70.53,38.72
70.85,38.96
69.89,38.48
71.23,39.24
67.57,37.55
69.65,38.17
69.12,38.13
71.93,39.48
70.19,38.52
71.07,39.09
69.57,38.22
71.6,39.13
68.75,37.9
70.94,38.66
72.24,39.49
70.5,38.79
71.58,39.54
71.46,39.19
71.8,39.17
73.38,40.16
70.61,38.53
71.65,39.42
70.5,38.69
71.57,39.28
71,38.67
71.93,39.52
71.61,39.2
71.66,39.21
69.87,38.4
69.65,38.4
68.97,38.15
70.42,38.55
68.11,37.67
70.67,38.73
71.42,39.21
72.87,39.85
72.03,39.45
69.88,38.41
70.9,39.1
72.78,39.8
71.05,38.86
73.03,40
70.98,39.18
70.39,38.91
68.49,37.71
68.65,37.76
70.88,38.99
69.13,38.03
70.37,38.77
68.27,37.53
71.99,39.67
71.55,39.18
71.46,39.01
71.5,39.11
70.56,38.65
73.72,40.63
73.02,40.24
70.7,38.95
69.04,38.05
71.38,39.38
69.72,38.21
70.48,38.73
73.43,40.09
69.3,37.75
70.27,38.42
72.01,39.41
70.13,38.55
69.94,38.48
69.32,38.18
70.92,38.89
71.62,39.25
71.57,39.26
70.75,38.84
68.97,38.03
70.92,39.13
71.28,39.14
71.15,39.22
69.71,38.31
72.22,39.38
73.41,40.2
71.93,39.59
71.15,39.03
70.88,38.93
72.11,39.7
68.79,38.02
70.83,38.77
72.5,39.73
72.1,39.7
70.61,38.76
70.33,38.47
70.2,38.69
70.07,38.59
71.54,39.46
69.07,37.84
70.27,38.61
70.33,38.82
69.84,38.28
69.24,38.18
70.17,38.73
70.81,39
69.7,38.07
71.1,38.97
68.67,37.8
72.84,39.99
72.2,39.56
71.44,39.38
71.86,39.38
69.21,38.07
69.05,38.3
69.54,38.3
69.13,37.91
71.68,39.45
69.44,38.07
70.92,38.83
68.86,38.15
68.63,38.09
68.52,37.79
72.02,39.5
70.56,38.76
71.39,39.24
70.85,39.05
71.98,39.34
71.68,39.35
71.15,39.15
69.72,38.07
72.44,39.5
71.92,39.55
68.83,37.65
69.79,38.23
68.68,37.73
72.01,39.27
70.35,38.58
69.4,38.15
68.57,37.89
69.92,38.41
69.25,37.98
68.53,37.93
67.98,37.11
70.91,39.05
71.6,39.29
71.32,38.9
71.49,39.09
69.35,38.18
70.44,38.82
71.42,39.3
70.68,38.88
71.1,39.12
70.71,38.88
70.72,38.92
72.91,39.91
71.48,39.24
71.17,39
65.29,36.23
71.05,38.94
69.59,38.29
71.84,39.32
71.83,39.25
69.91,38.43
70.01,38.51
70.77,38.43
72.66,39.93
69.84,38.35
69.36,38.27
69.88,38.46
69.42,38.17
69.74,38.77
69.51,38.4
70.91,39.04
69.54,38.32
70.24,38.53
71,38.99
72.85,40.18
70.02,38.38
70.57,38.67
69.71,38.51
71.75,39.27
72.9,40.05
68.76,37.9
73.1,40.01
70.5,38.89
69.22,38.15
68.51,37.89
73.37,40.18
69.24,38.15
71.96,39.41
72.8,39.89
71.91,39.52
75.88,41.46
68.92,38.01
73.36,40.09
72.73,39.9
70.17,38.66
71.8,39.43
71.23,38.88
70.09,38.67
71.12,39.27
68.52,37.91
68.96,38.08
70.36,38.39
70.9,38.84
69.55,38.09
72.34,39.79
70.43,38.96
70.25,38.78
74.62,41.09
72.41,39.83
72.12,39.45
70.66,38.93
72.36,39.7
68.17,37.46
72.05,39.68
71.39,39.19
70.37,38.89
67.48,37.44
70.11,38.59
72.46,39.7
72.87,40.07
70.22,38.69
73.94,40.63
73.59,40.31
69.97,38.44
68.92,38.02
70.9,38.77
68.72,37.95
73.39,40.39
72.41,39.44
69.85,38.53
72.27,39.54
70.87,38.92
71.64,39.29
69.08,38.06
74.61,40.59
71.19,39.17
71.37,39.2
68.98,38.07
71.48,39.57
70.52,38.44
69.84,38.28
71.43,39.42
72.26,39.65
68.79,37.98
71.43,39.05
69.97,38.05
71.87,39.39
70.87,39.04
69.61,38.24
71.01,38.63
68.87,37.97
67.34,37.04
71.73,39.4
