"x","pmf_x"
4,0.0038
19,0.03
27,3e-04
30,0.0113
45,0.0088
54,6e-04
58,0.0255
87,0.0385
112,0.0797
115,0.0746
118,0.011
134,0
143,0
148,0.0052
169,0.0015
170,6e-04
224,0.0244
227,0.0048
228,4e-04
250,0.0036
256,0.0159
267,0.0452
276,0.0024
287,0
320,0.018
321,0.001
324,0.0031
326,1e-04
340,0.0265
351,0.0059
373,0.0068
386,0.0144
390,3e-04
411,0.001
427,0
448,3e-04
469,0.0028
498,5e-04
500,0.0142
521,0.0011
530,0.0219
566,0.0484
577,1e-04
615,0.0096
658,0
668,5e-04
680,0.0079
684,0.0058
688,0.001
690,0.0104
703,0.005
738,0.0122
760,0.0508
766,0.0259
797,0.0011
801,0.0121
803,0.0116
808,0.0179
810,0.0187
811,0.0044
830,3e-04
831,0.012
844,0.0063
845,0.0029
873,2e-04
877,0.0178
878,0.0014
880,0.0092
896,0.0028
907,2e-04
920,0.089
923,0.0139
942,0.007
949,0.0023
950,0.0072
958,0.0282
965,0.0095
989,0.0212
990,0.0192
