"alpha","beta","gamma","delta","epsilon","zeta","eta","theta","iota"
11.7278510904457,11.7474053684351,11.7278510904457,0.965060562621829,11.0081719059775,8.23517875230103,12.9059764374384,5.44331191806123,14.8170117228646
8.82140026097752,12.6639331985562,8.82140026097752,11.7620373951464,10.2915674313941,7.88900508484352,7.64279039101635,9.99945197720081,-8.80095724449236
10.6532067110969,11.8546733897411,10.6532067110969,10.5750256853399,8.16448405290837,8.92573487910771,9.05592490630687,0.805391708854586,-6.89807416182537
9.63143350829636,13.4912465323133,9.63143350829636,8.23295623254323,11.4735780750081,9.92512411875108,13.6867717071833,4.08938824664801,2.91084497499896
9.40044535645522,12.4003394095271,9.40044535645522,2.36901563478945,9.44079949267722,8.72629540045234,9.27773101113919,8.46433250932023,-0.794900644842691
10.0546051654574,11.1934396708367,10.0546051654574,11.7810407997088,10.0072369224783,7.58444580491045,7.63702327926232,5.48725093947724,10.0161726227153
11.7076774254494,11.1433156574399,11.7076774254494,-2.91840859822035,9.17785844511485,8.5838183423217,6.27231702059013,3.96234936080873,10.2339747516661
8.90562702442171,12.698207441243,8.90562702442171,8.78017882290984,10.6220717788831,9.47317908078252,12.2345625331394,9.34574167942628,-12.0324925730971
9.71071817550361,12.4795788200619,9.71071817550361,-1.1654137320665,9.14840159533465,7.86369604181538,9.08375065560954,2.14098185766488,3.35433650520562
12.2074129608038,12.2929129077124,12.2074129608038,8.24087128918424,9.55133057409599,8.94826963437158,9.67306866792847,4.6864115470089,12.4741474495445
10.5187490065016,11.7255088759329,10.5187490065016,14.0830609923192,9.33351574587128,10.8327804061801,10.1442585904591,2.53501449013129,0.610216439694548
8.59508206415971,12.151395380404,8.59508206415971,3.24073091273916,9.08508890322573,8.759342771567,7.86619299020576,1.84442130615935,-1.04809942936437
12.0148644801591,11.4438183537573,12.0148644801591,15.2352282917191,9.86800730842101,8.7654433241189,9.38333149428033,6.30717002786696,7.56777681500329
