"amaflix","netazon"
76.73,28.44
66.19,22.59
76.72,26.2
49.69,19.39
72.03,25.13
81.4,27.86
69.36,24.59
72.33,25.59
62.66,21.56
61.55,22.53
82.83,27.83
79.63,26.6
55.61,19.28
86.31,28.91
77.61,25.89
57.8,20.88
78.75,28.3
82.13,28.63
68.7,23.78
69.46,22.76
73.23,24.23
82.35,27.59
60.97,20.85
70.54,25.94
73.51,26.01
71.2,26.55
75.31,26.6
72.96,25.68
70.65,24.96
64.42,22.02
75.14,27.71
65.83,24.72
60,21.9
65.48,23.01
69.9,25.49
67.99,23.62
102.23,31.76
92.59,31.54
45.93,16.77
64.81,22.72
69.56,22.61
102.35,34.12
59.31,19.48
50.36,17.48
78.49,25.59
76.18,25.16
79.89,29.3
62.63,22.81
84.79,29
77.62,28.65
75,25.89
50.34,19.24
80.81,26.42
61.3,21.25
73.74,26.62
69.32,23.44
54.45,21.37
87.93,27.96
91.18,30.67
77.24,26.74
59.88,22.17
70.47,23.45
51.53,16.99
80.31,26.06
56.72,21.98
82.48,27.58
59.56,20.83
74.36,26.37
72.6,24.59
102.12,33.35
80.81,27.38
50.9,20.7
71.46,24.83
59.92,21.51
70.85,23.36
45.75,17.41
92.38,31.1
51.44,18.28
79.8,27.15
90.44,30.5
70.46,24.98
68.09,25.5
93.89,31.67
68.62,27.89
67.92,22.37
80.69,28.36
61.16,21.5
83.63,26.87
104.54,34.88
79.51,27.31
67.58,22.19
81.67,30.51
78.78,25.42
73.06,24.24
70.92,26.15
71.07,25.21
72.29,24.87
57.11,21.99
104.83,33.57
77.82,27.39
72.84,25.1
86.86,31.22
63.39,21.46
75.46,27.37
65.78,21.53
83.08,28.16
67.85,22.49
67.47,25.4
87.19,28.78
61.6,22.12
56.24,19.18
63.03,23.47
84.63,28.85
73.62,24.41
78.15,27.66
85.46,29.05
78.42,25.75
66.02,23.23
74.2,26.23
83.44,27.87
66.38,24.74
75.63,26.11
67.3,24.05
65.62,22.54
76.56,27.57
65.47,19.9
75.31,25.41
76.03,25.38
67.54,26.35
86.19,28.44
87.91,29.24
90.51,29.95
63.93,21.04
63.69,22.65
70.06,23.23
69.24,23.93
74.04,26.36
68.71,24.41
65.04,21.37
64.35,23.32
60.64,22.32
74.02,26.73
81.61,27.97
50.97,19.66
69.49,24.73
64.37,22.49
64.47,23.91
42.22,13.73
73.91,25.86
54.82,17.49
83.43,29.86
80.26,26.92
64.18,24.47
64.04,23.13
65.57,24.88
58.17,19.15
62.82,23.19
74.82,26.39
98.13,33.45
64.53,22.3
66.84,23.47
82.87,25.56
50.01,16.74
68.8,23.74
89.57,31.54
65.73,22.17
64.66,22.21
64.63,20.16
65.96,22.33
90.7,30.44
57.33,20.86
67.14,22.28
97.25,32.17
53.69,18.47
77.02,26.03
84.43,27.65
76.66,26.43
69.53,24.35
86.08,30.29
54.32,18.88
72.9,27.26
63.71,25.25
48.58,19.66
77.07,27.11
77.12,26.47
57.51,22.89
80.05,27.37
60.54,21.63
80.32,27.47
89.94,29.47
64.65,22.66
72.13,24.58
84.29,27.73
83.73,28.42
66.65,22.89
95.16,33.57
47.21,15.15
75.35,25.76
80.34,26.31
67.11,23.81
74.39,27.99
71.55,25.06
68.33,22.98
86.8,28.61
89.29,28.15
38.06,16.24
71.19,25.28
57.32,19.92
61.84,21.9
90.26,30.16
60.51,22.36
73.04,24.19
80.35,26.91
92.03,31.91
53.28,21.57
49.12,17.89
76.6,26.59
62.71,22.48
65.04,22.12
81.73,25.92
54.8,20.95
82.24,29.66
49.56,18.78
81.89,27.31
59.7,21.95
72.32,23.09
90.45,31.77
53.48,19.47
89.92,30.47
70.85,25.3
68.28,23.71
34.19,15.44
62.41,21.89
67.35,23.45
68.47,23.93
77.91,28.12
62.64,23.64
68.27,22.48
60.33,21.04
66.57,23.16
79.84,27.41
71.8,24.67
61.06,23.92
83.18,28.99
84.54,30.71
82.03,27.43
64.08,23.65
87.36,28.8
64.2,21.69
60.91,20.96
90.9,30.72
87.7,30.58
82.13,29.86
81.92,26.41
