"x","pmf_x"
2,0.0028
26,0.0029
31,0.0188
43,0.0035
48,0.0159
50,0.0141
64,0.0122
74,0.0311
82,0.014
95,2e-04
106,0.0197
114,0.0031
123,0.002
130,0.0151
147,0.0073
152,0.0021
165,6e-04
187,0.0047
188,0.0085
190,0.0176
204,0.0338
211,0.032
216,0.002
217,0.0039
218,6e-04
219,2e-04
220,0.015
226,0.0067
232,0.0029
238,0.0174
240,0.0037
245,7e-04
263,6e-04
270,8e-04
273,0.013
296,0.0142
299,0.0048
307,0.0132
326,0.0098
342,0.1286
347,2e-04
348,0.025
349,0.0019
353,0.0022
359,0.0049
361,0.0024
366,0.064
385,0
391,5e-04
398,0.001
399,0.0022
416,4e-04
417,0.0162
436,0.0019
443,0
446,0.0275
450,0
479,1e-04
521,0.0037
527,0.0018
532,8e-04
539,0.0013
577,0.0041
578,0.0123
580,0.0322
602,0.0066
613,3e-04
625,0.0013
642,0.0014
658,0.0171
664,0.0198
666,0.0077
673,0.0103
681,0.0206
683,0.0031
710,0.0021
712,1e-04
722,5e-04
732,0.0259
737,0.0146
752,0.0429
769,0.0022
772,2e-04
773,0.004
801,0.0014
819,0.0247
826,0.0089
835,0
869,0.0119
880,0.002
885,0.0082
926,0.0045
933,0.0095
951,0.0331
973,5e-04
981,0
991,0.0041
995,0.0038
