"x","pmf_x"
4,0.0066
20,9e-04
25,0.0281
38,0.0022
40,0.0246
50,0.0011
55,0.0096
61,0.0045
66,0.0063
68,0
71,0.0016
76,0
85,0.0202
97,0.0146
108,0.0143
118,0.0184
128,0.0061
134,0.001
141,0.0042
143,0.0318
148,0.0311
151,8e-04
157,0.0059
162,0
167,0.0099
183,0.0123
191,0.0029
209,0.0114
221,0.001
241,0.0029
251,0.0136
255,0.0019
268,0.0017
272,0.0592
285,0
290,0.0252
296,0.0084
333,0.0013
336,0
344,7e-04
353,0.0275
358,0.0078
365,2e-04
367,4e-04
389,0.0116
398,8e-04
406,0.0036
423,0.0027
424,0.0017
427,2e-04
431,0.0028
433,6e-04
443,0.0176
452,0.0084
472,0.0011
488,0.0035
494,1e-04
506,0.0061
513,0
514,9e-04
536,0.0221
538,0.001
552,0.01
553,0.0053
555,0.0057
557,0.0013
561,0.0145
574,1e-04
598,0.0066
603,2e-04
612,0.0723
616,0.0221
643,3e-04
688,0.0115
716,0.0064
719,0.0065
732,0.0055
735,0.0097
764,0.0059
778,3e-04
779,0
819,0.0165
831,0.0259
832,0.009
833,0.0134
856,0.0017
867,0.0149
868,0.0138
871,8e-04
872,0.0461
888,0.0117
889,0.0289
905,0.005
914,0.0067
917,0.0023
919,0.0241
932,0.0052
954,0.0027
979,0.0801
