"x","pmf_x"
4,0
7,0.0029
17,0.0013
18,0
20,0.002
36,4e-04
38,0.0021
46,0.0038
63,5e-04
67,0.0064
82,0.0015
85,0.0137
86,0.0011
90,0.0035
91,0.0467
98,0.0024
101,4e-04
109,1e-04
114,0.0072
135,0.0097
169,0.0019
182,0.0116
207,0.0028
208,0
213,8e-04
216,4e-04
217,5e-04
221,0.001
222,0.0013
228,0.0021
248,0.0329
257,0.0056
259,8e-04
274,5e-04
277,0.0571
281,0.0029
289,0.0113
294,0.0015
304,0.0012
309,4e-04
310,0
318,0.0114
320,0.0109
323,0.0231
330,0.0037
331,5e-04
338,4e-04
347,0.001
353,0.0058
402,0.0044
405,0.011
417,0.0047
429,0.0064
433,5e-04
450,0.0029
453,0.0028
454,0.0017
489,0.0137
494,0.0045
503,0.0042
511,0.0052
516,0.0028
528,0.0131
536,0.001
541,4e-04
559,0.0013
560,4e-04
569,0.0346
575,0.005
580,0.0069
582,0.0089
584,0.0351
585,0.0451
611,0.0236
617,0.0132
620,0.0065
630,0
648,0.0145
662,0
679,0.0128
688,0.0019
692,0.0042
708,1e-04
716,0.0401
718,0.0024
725,0
728,0
729,9e-04
736,0.0114
737,0.0126
749,0.034
750,0.0197
751,0.011
768,0.008
769,0.0032
786,0.0037
800,8e-04
801,4e-04
813,0.0093
830,0.0355
831,0
840,0.002
865,0.0589
874,0.0021
881,0.0013
882,0.0015
884,0.0051
903,0.0334
904,0.0021
909,0.0015
917,3e-04
931,0.0814
936,0.0128
964,0.0051
965,0.006
996,0.001
