"amaflix","netazon"
88.43,62.55
88.32,62.62
88.04,62.41
87.94,62.23
89.65,63.27
88.44,62.73
88.62,62.67
87.62,62.05
87.74,62.25
88.32,62.54
87.48,62.14
87.78,62.15
88.75,62.98
88.34,62.57
88.7,62.8
88.68,62.84
89.04,62.9
88.53,62.71
88.65,62.74
90.16,63.77
88.03,62.59
87.82,62.16
87.25,61.94
88.89,63.03
88.95,63
88.34,62.53
87.28,61.88
90.2,63.9
89.36,63.39
88.29,62.57
89.1,63.19
87.72,62.04
90.63,64.14
88.25,62.58
89.68,63.44
88.66,62.83
88.05,62.46
88.08,62.4
87.16,61.79
89.87,63.5
88.14,62.34
88.9,62.85
88.34,62.53
87.72,62.26
88.52,62.83
87.13,61.77
88.53,62.69
88.04,62.35
88.21,62.47
87.92,62.38
89.94,63.6
88.85,62.86
89.75,63.37
89.09,63.02
88.96,62.93
87.85,62.22
89.94,63.69
88.46,62.73
87.59,62.29
88.37,62.58
88.8,62.78
87.66,62.13
88.22,62.37
88.02,62.33
87.67,62.19
88.15,62.58
86.81,61.54
88.27,62.53
88.01,62.46
88.87,62.93
89.42,63.22
88.56,62.77
88.91,62.9
90.12,63.81
89.93,63.68
89.53,63.22
87.8,62.22
89.72,63.5
88.46,62.57
86.87,61.66
87.84,62.32
89.17,63.18
88.7,62.89
89.23,63.2
89.41,63.32
88.51,62.79
89.61,63.41
88.93,63.1
87.65,62.2
89.86,63.66
89.42,63.31
89,63.08
88.92,62.95
89.44,63.29
89.71,63.39
88.37,62.59
89.66,63.44
87.93,62.11
88.49,62.55
88.73,62.92
89.07,63.1
88.66,62.83
89.53,63.39
89.5,63.3
88.56,62.71
87.87,62.34
88.24,62.45
89.08,63.14
88.58,62.73
88.54,62.72
89.42,63.13
87.74,62.18
87.3,62.04
86.44,61.32
88.67,62.81
88.38,62.58
89.71,63.46
89.04,63
88.22,62.6
87.54,62.1
89,63.01
89.71,63.63
87.68,62.25
88.18,62.17
88.84,62.94
88.95,63.05
87.79,62.25
87.8,62.17
87.15,61.74
90.2,63.81
89.15,63.15
89.45,63.3
86.91,61.44
90.17,63.88
89.32,63.31
88.61,62.83
87.89,62.28
88.78,62.85
88.06,62.28
89.01,63.06
89.74,63.36
88.15,62.38
89,63.01
89.55,63.31
88.54,62.73
87.76,62.24
88.56,62.7
88.49,62.61
88.29,62.47
89.19,63.17
88.86,63.05
88.56,62.48
88.47,62.62
89.56,63.43
88.36,62.55
88.94,62.87
88.15,62.52
87.17,61.81
88.78,62.78
89.55,63.44
88.59,62.75
89.18,63.17
88.26,62.63
88.36,62.63
86.89,61.54
88.68,62.87
88.23,62.51
88.4,62.43
88.04,62.29
88.87,62.87
89.34,63.22
88.34,62.63
89.09,63.1
90.42,63.83
89.27,63.22
88.26,62.52
88.93,62.93
88.49,62.61
88.2,62.47
88.71,62.82
89.76,63.66
89.04,62.97
89.1,63.04
88.65,62.78
90.23,63.77
87.83,62.26
88.9,62.87
88.22,62.45
87.62,62.26
88.17,62.43
88.25,62.49
89.45,63.44
88.23,62.48
89.3,63.12
87.73,62.23
89.04,63.06
88.74,62.84
88.67,62.86
88.44,62.78
89.46,63.39
89.06,63.01
85.58,60.74
87.25,61.78
87.43,62.09
88.58,62.75
89.71,63.51
88.03,62.34
89.08,63
88.71,62.76
88.46,62.75
87.25,61.88
89.84,63.6
90.19,63.83
90.53,64.09
87.84,62.27
88.81,63.06
88.19,62.41
88.06,62.37
87.9,62.39
89.24,63.1
88.74,62.92
89.18,63.04
88.14,62.33
88.77,62.7
88.75,62.82
87.99,62.32
89.61,63.59
88.32,62.5
88.94,63
86.51,61.49
87.52,62.13
89.36,63.22
89.87,63.76
88.43,62.56
91.41,64.59
90.3,63.94
89.05,63.06
89.18,63.07
89.55,63.44
88.96,63.06
88.4,62.44
88.6,62.85
89.58,63.47
89.35,63.23
88.95,63.14
89.6,63.44
