"x","pmf_x"
4,1e-04
7,9e-04
18,0.0136
21,0
61,0.0095
80,0.0246
104,0.0183
109,6e-04
111,0.013
121,0.012
135,0.0619
139,0.0085
180,0.0091
189,0
194,0.0016
211,5e-04
214,0.0017
218,0.0014
219,0.0013
225,0.0137
243,0.0053
250,8e-04
252,0.0076
260,4e-04
293,0
300,0.0275
306,2e-04
319,0.0135
324,0.0045
326,2e-04
331,0.0138
340,0.0132
341,1e-04
355,0.002
373,0.0261
384,0.0057
390,9e-04
393,0.0159
403,0.0035
405,9e-04
410,0.0017
411,0.0012
428,0.0026
431,0
440,0.0168
448,0
451,0.0048
458,0.0028
466,0.047
472,0.0015
484,0.0024
492,5e-04
506,0.0121
526,0.0015
529,0.0233
530,0.0054
542,0.0527
547,0.0064
554,0.0024
565,0.0025
570,0.0143
582,0
589,0.0048
602,0.0033
605,0.0036
606,0.0117
609,6e-04
611,2e-04
630,0.0038
641,0.0079
643,0.0096
650,0.007
667,0.0063
690,0.0021
699,0.007
701,0.0094
702,0.0032
709,0.0397
723,0.0373
752,0.0131
759,0.0184
774,3e-04
780,0.0243
781,0.0273
793,0.0023
803,0.0075
808,2e-04
814,0.0021
817,0.0014
818,0.0056
832,8e-04
839,2e-04
841,0.0188
851,0.0104
854,0.0433
872,0.0057
880,0.0065
882,0.0018
883,0.0079
922,0.0056
923,0.0011
932,0.0219
937,0.0027
942,0.0028
949,2e-04
969,0.0125
971,0.0217
974,5e-04
983,0.0388
989,5e-04
