"amaflix","netazon"
77.42,67.55
77.27,114.21
77.54,60.8
77.32,90.53
77.19,88.54
77.09,99.66
77.13,92.29
77.2,66.29
77.65,98.42
77.51,95.66
77.39,60.47
77.33,72.71
77.41,75.25
77.26,124
77.53,112.23
77.41,68.87
77.39,49.86
77.11,91.74
77.05,81.83
77.41,89.53
77.2,110.69
77.53,76.37
77.3,94.79
77.56,53.93
77.39,28.25
77.11,74.86
77.28,82.38
77.49,80.42
77.91,68.75
77.55,71.73
77.32,74.69
77.81,84.91
77.34,107.81
77.4,110.52
77.23,53.32
77.45,83.64
77.45,104.2
77.54,40.19
77.46,43.52
77.57,66.07
77.36,36.56
77.26,56.86
77.48,90.23
77.31,114.01
77.47,92.9
77.54,29.71
77.49,83.93
77.32,119.71
77.58,91.75
77.99,62.64
77.26,106.27
77.29,80.73
77.34,105.15
77.38,83.19
77.62,89.15
77.51,78.78
77.5,52.65
77.53,70.35
77.24,127.83
77.01,82.71
77.19,91.11
76.87,61.46
77.38,84.5
77.49,77.44
77.79,75.34
77.42,99.63
77.52,109.62
77.25,47.18
77.28,63.42
77.58,64.4
77.23,123.19
77.1,111.94
77.65,85.9
77.63,90.6
77.21,79.87
77.33,79.14
77.36,92.76
77.28,117.18
77.55,63.55
77.4,45.15
77.44,81.47
77.72,87.54
77.45,78.41
77.96,67.52
77.31,61.02
77.15,77.56
77.54,116.05
77.21,101.43
77.6,101.25
77.53,87.04
77.45,78.25
77.6,88.18
77.5,81.17
77.36,82.18
77.67,48.42
77.54,81.07
77.64,92.16
77.66,85.86
77.73,114.88
77.45,69.21
77.55,62.94
77.42,79.84
77.58,95.31
77.54,75.16
77.49,70.06
77.16,40.5
77.17,83.44
77.39,58.05
77.49,68.5
77.26,109.67
77.59,48.83
77.13,122.9
77.36,96.04
77.19,67.8
77.36,97.67
77.21,39.41
77.43,64.86
77.56,68.05
77.4,78.17
77.54,86.13
77.46,86.8
77.64,46.78
77.75,100.98
77.14,86.2
77.3,105.54
77.24,78.41
77.27,73.95
77.33,109.85
77.4,66.8
77.39,84.38
77.48,33.21
77.55,49.93
77.2,42.32
78.03,81.08
77.36,62.28
77.47,59.54
77.64,84.14
77.62,76.92
77.52,64.3
77.29,61.86
77.09,99.75
77.13,50.3
77.05,114.1
77.45,71.31
77.38,65.81
77.31,70.32
77.24,66.94
77.21,98.58
77.51,60.86
77.4,99.11
77.18,54.85
77.27,46.11
77.61,94.9
77.55,37.16
77.47,52.73
77.46,56.06
77.7,93.23
77.31,69.17
77.47,53.73
76.88,123.25
77.49,41
77.31,104.33
77.24,99.11
77.48,44.02
77.83,50.82
77.04,108.52
77.18,74.33
77.57,49.63
77.49,85.35
77.35,59.42
77.53,54.51
77.73,90.13
77.51,102.95
77.51,113.65
77.48,83.95
77.39,92.98
77.23,106.71
77.37,108.54
77.55,89.37
77.35,89.87
77.46,66.95
77.22,88.53
77.48,90.65
77.41,91.59
77.56,75.88
77.29,23.25
77.3,123.74
77.32,109.39
77.17,105.33
77.45,136.14
77.36,84.44
77.37,57.03
77.37,56.43
77.39,109.93
77.31,64.83
77.47,74.52
77.17,56.93
77.71,88.76
77.52,55.05
77.74,126.46
77.47,143.51
77.67,62.28
77.64,63.99
77.28,116.83
77.65,70.8
77.57,52.87
77.41,34.6
77.33,59.06
77.27,86.59
77.22,63.19
77.22,127.01
77.58,57.87
77.28,52.98
77.15,106.45
77.48,84.81
77.56,112.55
77.38,70.35
77.1,74.83
77.46,40.65
77.52,85.58
77.19,134.49
77.37,96.11
77.11,67.93
77.14,69.38
77.18,68.64
77.79,80.33
77.43,74.27
77.51,104.93
77.44,55.83
77.38,98.55
77.33,60.36
77.67,108.96
77.45,90.14
77.54,94.94
77.39,87.24
77.48,45.59
77.68,86.95
77.43,67.57
77.5,126.13
77.29,108.77
77.43,93.31
77.44,41.81
77.57,151.81
77.46,85.23
77.14,72.99
77.58,88.51
77.42,87.99
77.66,108.47
77.34,101.74
77.69,62.48
77.5,104.13
77.35,65.58
