"amaflix","netazon"
68.51,70.03
67.1,69.63
64.29,70.32
64.96,69.99
66.55,69.52
68.3,70.09
62.15,69.84
63.42,69.52
65.9,69.78
63.41,69.46
66.63,69.66
66.15,69.54
62.21,68.74
64.18,69.59
63.5,69.17
64,69.71
66.29,69.88
69.45,69.74
64.99,69.67
64.05,69.71
62.69,69.64
64.92,69.23
64.77,69.76
67.81,69.67
66.71,69.4
72.02,69.56
64.52,70.12
63.49,69.16
64.23,69.54
63.33,69.9
64.63,69.23
69.42,69.54
65.56,69.57
63.92,69.19
70.64,68.91
64.76,69.48
67.48,69.5
66.81,69.26
63.24,68.98
64.03,69.87
64.84,69.26
68.05,69.29
67.7,69.86
66.96,69.3
63.12,69.47
66.07,69.62
63.02,69.7
65.55,69.27
66.15,70.03
64.34,68.87
59.43,69.98
64,69.71
63.76,68.69
60.28,69.31
66.3,70.09
64.72,69.77
68.38,69.75
66.25,68.84
65.71,69.71
66.8,69.36
66.95,69.75
63.29,69.84
65.23,69.59
67.75,69.74
65.67,70.38
64.08,70.15
65.28,69.96
66.63,69.04
66.82,68.91
62.53,69.81
71.68,69.54
66.85,68.66
68.32,70.12
66.21,70.02
64.14,70.46
67.85,69.6
64.93,70.49
65.83,69.71
62.68,69.07
64.75,69.8
64.76,69.51
70.03,68.82
65.58,69.64
64.32,69.42
67.09,69.66
65.51,69.66
63.99,69.32
63.77,69.41
64.97,68.87
72.17,69.49
64.18,69.55
67.65,69.28
66.89,69.23
65.06,69.92
68.92,69.6
65.56,69.39
65.55,69.96
67.17,69.13
65.62,69.51
67.71,69.28
69.2,70.04
65.16,69.1
63.62,69.31
64.38,69.38
67.67,69.64
62.96,69.83
67.55,69.57
61.29,70.7
65.66,69.55
65.24,69.38
62.18,70.12
63.77,70.41
66.02,69.68
69.79,69.94
65.93,69.91
64.49,69.48
65.85,70.25
70.37,68.96
70.18,69.55
65.39,68.69
66.35,69.5
64.94,69.46
67.58,69.36
66.93,69.96
66.95,68.82
65.57,69.97
64.94,69.97
68.41,69.56
67.35,69.44
66.13,70.36
65.09,69.63
66.8,69.35
70.05,69.89
64.91,69.74
66.59,69.84
65.87,68.92
65.23,69.05
66.18,69.43
66.7,70.03
67.57,68.88
64.86,69.91
64.28,70.61
65.16,69.54
61.75,69.6
67.04,69.41
66.69,70.28
64.31,70.14
64.82,69.19
64.15,69.83
64.12,69.46
69.02,69.67
63.46,70.22
67.54,69.63
68.24,69
64.68,69.53
68.22,69.59
61.3,69.51
64.83,70.15
64.62,69.19
66.8,68.81
64.17,69.61
70.43,69.49
70.93,70.48
66,69.54
63.98,69.54
65.54,69.88
65.07,69.13
66.62,69.86
66.08,69.56
67.58,69.57
64.74,69.68
64.8,69.19
66.38,69.43
63.74,69.64
64.84,70.19
64.31,69.76
66.55,70.04
69.11,69.55
63.87,69.55
66.53,69.83
65.86,70.04
67.6,70.12
66.72,70.35
66.03,69.8
65.24,70.07
66.24,70.1
66.31,69.34
63.98,69.63
67.97,70.06
66.57,69.41
64.82,69.49
61.51,69.5
64.89,70.03
67.84,69.9
64.17,69.12
64.85,69.5
69.48,69.83
66.84,68.89
63.07,69.26
68.04,70.32
65.72,69.87
62.97,69.87
66.63,69.35
67.38,69.49
66.46,70.18
59.86,69.33
64.8,70.27
66.15,69.8
63.62,69.58
63.69,69.04
61.07,70.34
67.05,69.35
68.87,69.21
67.81,69.8
64.4,69.52
65.15,68.76
66.74,69.81
66.31,70.06
66.2,70.09
66.42,70.09
65.94,69.47
68.61,69.57
63.05,69.63
63.21,69.84
68.79,69.5
65.62,69.39
67.1,69.24
70.55,69.26
67.47,69.21
68.61,69.84
63.98,69.24
65.14,69.65
66.23,70.7
65.71,69.63
64.06,69.42
67.23,69.74
68.15,70.39
68.69,69.75
66.8,69.25
67.31,69.87
70.08,69.59
63.13,69.86
64.25,69.78
66.59,70.24
67.36,69.66
68.11,68.72
66.75,68.5
66.74,69.96
64.85,69.6
67.62,69.59
